"ZIP
code [1]",Size of adjusted gross income,Number of returns
10030,"$50,000 under $75,000",1810
10030,"$75,000 under $100,000",810
10030,"$100,000 under $200,000",700
10030,"$200,000 or more",200
,,
10031,,"29,340"
10031,"$1 under $25,000",13840
10031,"$25,000 under $50,000",7940
10031,"$50,000 under $75,000",4010
10031,"$75,000 under $100,000",1660
10031,"$100,000 under $200,000",1510
10031,"$200,000 or more",380
,,
10032,,"29,300"
10032,"$1 under $25,000",14390
10032,"$25,000 under $50,000",7810
10032,"$50,000 under $75,000",3820
10032,"$75,000 under $100,000",1520
10032,"$100,000 under $200,000",1420
10032,"$200,000 or more",340
,,
10033,,"26,930"
10033,"$1 under $25,000",12800
10033,"$25,000 under $50,000",6580
10033,"$50,000 under $75,000",3400
10033,"$75,000 under $100,000",1580
10033,"$100,000 under $200,000",1940
10033,"$200,000 or more",630
,,
10034,,"20,140"
10034,"$1 under $25,000",9300
10034,"$25,000 under $50,000",4880
10034,"$50,000 under $75,000",2830
10034,"$75,000 under $100,000",1390
10034,"$100,000 under $200,000",1430
10034,"$200,000 or more",310
,,
10035,,"15,130"
10035,"$1 under $25,000",7040
10035,"$25,000 under $50,000",3890
10035,"$50,000 under $75,000",1950
10035,"$75,000 under $100,000",910
10035,"$100,000 under $200,000",1020
10035,"$200,000 or more",320
,,
10036,,"18,720"
10036,"$1 under $25,000",4480
10036,"$25,000 under $50,000",3160
10036,"$50,000 under $75,000",2580
10036,"$75,000 under $100,000",1920
10036,"$100,000 under $200,000",3800
10036,"$200,000 or more",2780
,,
10037,,"10,530"
10037,"$1 under $25,000",3870
10037,"$25,000 under $50,000",2750
10037,"$50,000 under $75,000",1850
10037,"$75,000 under $100,000",1000
10037,"$100,000 under $200,000",920
10037,"$200,000 or more",140
,,
10038,,"12,090"
10038,"$1 under $25,000",3440
10038,"$25,000 under $50,000",1930
10038,"$50,000 under $75,000",1590
10038,"$75,000 under $100,000",1120
10038,"$100,000 under $200,000",2190
10038,"$200,000 or more",1820
,,
10039,,"13,290"
10039,"$1 under $25,000",6250
10039,"$25,000 under $50,000",3600
10039,"$50,000 under $75,000",1810
10039,"$75,000 under $100,000",770
10039,"$100,000 under $200,000",690
10039,"$200,000 or more",170
,,
10040,,"21,300"
10040,"$1 under $25,000",9790
10040,"$25,000 under $50,000",5360
10040,"$50,000 under $75,000",2970
10040,"$75,000 under $100,000",1390
10040,"$100,000 under $200,000",1410
10040,"$200,000 or more",380
,,
10044,,"4,260"
10044,"$1 under $25,000",1150
10044,"$25,000 under $50,000",740
10044,"$50,000 under $75,000",640
10044,"$75,000 under $100,000",440
10044,"$100,000 under $200,000",820
10044,"$200,000 or more",470
,,
10065,,"15,780"
10065,"$1 under $25,000",2350
10065,"$25,000 under $50,000",2050
10065,"$50,000 under $75,000",2070
