"ZIP
code [1]",Size of adjusted gross income,Number of returns
11516,"$50,000 under $75,000",380
11516,"$75,000 under $100,000",310
11516,"$100,000 under $200,000",680
11516,"$200,000 or more",460
,,
11518,,"5,600"
11518,"$1 under $25,000",1430
11518,"$25,000 under $50,000",960
11518,"$50,000 under $75,000",810
11518,"$75,000 under $100,000",640
11518,"$100,000 under $200,000",1220
11518,"$200,000 or more",540
,,
11520,,"24,070"
11520,"$1 under $25,000",9590
11520,"$25,000 under $50,000",6030
11520,"$50,000 under $75,000",3270
11520,"$75,000 under $100,000",1940
11520,"$100,000 under $200,000",2700
11520,"$200,000 or more",540
,,
11530,,"14,510"
11530,"$1 under $25,000",3340
11530,"$25,000 under $50,000",1520
11530,"$50,000 under $75,000",1390
11530,"$75,000 under $100,000",1160
11530,"$100,000 under $200,000",3080
11530,"$200,000 or more",4020
,,
11542,,"13,520"
11542,"$1 under $25,000",4720
11542,"$25,000 under $50,000",2970
11542,"$50,000 under $75,000",1800
11542,"$75,000 under $100,000",1120
11542,"$100,000 under $200,000",1980
11542,"$200,000 or more",930
,,
11545,,"6,020"
11545,"$1 under $25,000",1530
11545,"$25,000 under $50,000",700
11545,"$50,000 under $75,000",600
11545,"$75,000 under $100,000",450
11545,"$100,000 under $200,000",1120
11545,"$200,000 or more",1620
,,
11548,,700
11548,"$1 under $25,000",220
11548,"$25,000 under $50,000",110
11548,"$50,000 under $75,000",90
11548,"$75,000 under $100,000",50
11548,"$100,000 under $200,000",130
11548,"$200,000 or more",100
,,
11550,,"28,560"
11550,"$1 under $25,000",13400
11550,"$25,000 under $50,000",7730
11550,"$50,000 under $75,000",3360
11550,"$75,000 under $100,000",1800
11550,"$100,000 under $200,000",1940
11550,"$200,000 or more",330
,,
11552,,"12,980"
11552,"$1 under $25,000",3950
11552,"$25,000 under $50,000",2620
11552,"$50,000 under $75,000",1740
11552,"$75,000 under $100,000",1360
11552,"$100,000 under $200,000",2470
11552,"$200,000 or more",840
,,
11553,,"14,510"
11553,"$1 under $25,000",6060
11553,"$25,000 under $50,000",4250
11553,"$50,000 under $75,000",1990
11553,"$75,000 under $100,000",1070
11553,"$100,000 under $200,000",1050
11553,"$200,000 or more",90
,,
11554,,"19,680"
11554,"$1 under $25,000",5300
11554,"$25,000 under $50,000",3690
11554,"$50,000 under $75,000",2790
11554,"$75,000 under $100,000",2160
11554,"$100,000 under $200,000",4430
11554,"$200,000 or more",1310
,,
11557,,"4,120"
11557,"$1 under $25,000",1040
11557,"$25,000 under $50,000",560
11557,"$50,000 under $75,000",480
11557,"$75,000 under $100,000",350
11557,"$100,000 under $200,000",840
11557,"$200,000 or more",850
,,
11558,,"4,250"
11558,"$1 under $25,000",1310
11558,"$25,000 under $50,000",830
11558,"$50,000 under $75,000",620
11558,"$75,000 under $100,000",420
11558,"$100,000 under $200,000",820
11558,"$200,000 or more",250
,,
11559,,"3,860"
11559,"$1 under $25,000",1200
11559,"$25,000 under $50,000",560
11559,"$50,000 under $75,000",440
11559,"$75,000 under $100,000",290
11559,"$100,000 under $200,000",510
11559,"$200,000 or more",860
,,
11560,,"3,330"
11560,"$1 under $25,000",880
11560,"$25,000 under $50,000",520
11560,"$50,000 under $75,000",360
11560,"$75,000 under $100,000",250
11560,"$100,000 under $200,000",580
11560,"$200,000 or more",740
,,
11561,,"19,440"
11561,"$1 under $25,000",4950
11561,"$25,000 under $50,000",3360
11561,"$50,000 under $75,000",2900
11561,"$75,000 under $100,000",2370
11561,"$100,000 under $200,000",4050
11561,"$200,000 or more",1810
,,
11563,,"11,630"
11563,"$1 under $25,000",3030
11563,"$25,000 under $50,000",2020
11563,"$50,000 under $75,000",1700
11563,"$75,000 under $100,000",1360
11563,"$100,000 under $200,000",2680
11563,"$200,000 or more",840
,,
11565,,"4,790"
11565,"$1 under $25,000",1080
11565,"$25,000 under $50,000",650
11565,"$50,000 under $75,000",600
11565,"$75,000 under $100,000",530
11565,"$100,000 under $200,000",1340
11565,"$200,000 or more",590
,,
11566,,"18,280"
11566,"$1 under $25,000",4460
11566,"$25,000 under $50,000",2490
11566,"$50,000 under $75,000",2040
11566,"$75,000 under $100,000",1750
11566,"$100,000 under $200,000",4570
11566,"$200,000 or more",2970
,,
11568,,"1,710"
11568,"$1 under $25,000",430
11568,"$25,000 under $50,000",200
11568,"$50,000 under $75,000",140
11568,"$75,000 under $100,000",90
11568,"$100,000 under $200,000",210
11568,"$200,000 or more",640
,,
11570,,"14,220"
11570,"$1 under $25,000",3620
11570,"$25,000 under $50,000",1980
11570,"$50,000 under $75,000",1720
11570,"$75,000 under $100,000",1240
11570,"$100,000 under $200,000",2880
11570,"$200,000 or more",2780
,,
11572,,"16,070"
11572,"$1 under $25,000",4230
11572,"$25,000 under $50,000",2460
11572,"$50,000 under $75,000",2130
11572,"$75,000 under $100,000",1710
11572,"$100,000 under $200,000",3950
11572,"$200,000 or more",1590
,,
11575,,"9,110"
11575,"$1 under $25,000",4130
11575,"$25,000 under $50,000",2510
11575,"$50,000 under $75,000",1250
11575,"$75,000 under $100,000",600
11575,"$100,000 under $200,000",580
11575,"$200,000 or more",40
,,
11576,,"6,220"
11576,"$1 under $25,000",1410
11576,"$25,000 under $50,000",620
11576,"$50,000 under $75,000",490
11576,"$75,000 under $100,000",390
11576,"$100,000 under $200,000",1120
11576,"$200,000 or more",2190
,,
11577,,"5,920"
11577,"$1 under $25,000",1420
11577,"$25,000 under $50,000",750
11577,"$50,000 under $75,000",660
11577,"$75,000 under $100,000",490
11577,"$100,000 under $200,000",1180
11577,"$200,000 or more",1420
,,
11579,,"2,600"
11579,"$1 under $25,000",650
11579,"$25,000 under $50,000",360
11579,"$50,000 under $75,000",320
11579,"$75,000 under $100,000",230
11579,"$100,000 under $200,000",570
11579,"$200,000 or more",470
,,
11580,,"22,100"
11580,"$1 under $25,000",6720
11580,"$25,000 under $50,000",4670
11580,"$50,000 under $75,000",3460
11580,"$75,000 under $100,000",2550
11580,"$100,000 under $200,000",3970
11580,"$200,000 or more",730
,,
11581,,"10,830"
11581,"$1 under $25,000",2950
11581,"$25,000 under $50,000",1930
11581,"$50,000 under $75,000",1490
11581,"$75,000 under $100,000",1170
11581,"$100,000 under $200,000",2390
11581,"$200,000 or more",900
,,
11590,,"25,340"
11590,"$1 under $25,000",9150
11590,"$25,000 under $50,000",5720
11590,"$50,000 under $75,000",3240
11590,"$75,000 under $100,000",2130
11590,"$100,000 under $200,000",3760
11590,"$200,000 or more",1340
,,
11596,,"5,460"
11596,"$1 under $25,000",1350
11596,"$25,000 under $50,000",750
11596,"$50,000 under $75,000",670
11596,"$75,000 under $100,000",560
11596,"$100,000 under $200,000",1330
11596,"$200,000 or more",800
,,
11598,,"5,850"
11598,"$1 under $25,000",1450
11598,"$25,000 under $50,000",660
11598,"$50,000 under $75,000",580
11598,"$75,000 under $100,000",470
11598,"$100,000 under $200,000",1210
11598,"$200,000 or more",1480
,,
11691,,"22,610"
11691,"$1 under $25,000",11040
11691,"$25,000 under $50,000",6020
11691,"$50,000 under $75,000",2750
11691,"$75,000 under $100,000",1260
11691,"$100,000 under $200,000",1250
11691,"$200,000 or more",290
,,
11692,,"8,780"
11692,"$1 under $25,000",4120
11692,"$25,000 under $50,000",2350
11692,"$50,000 under $75,000",1120
11692,"$75,000 under $100,000",570
11692,"$100,000 under $200,000",540
11692,"$200,000 or more",80
,,
11693,,"5,780"
11693,"$1 under $25,000",2290
11693,"$25,000 under $50,000",1320
11693,"$50,000 under $75,000",880
11693,"$75,000 under $100,000",550
11693,"$100,000 under $200,000",650
11693,"$200,000 or more",90
,,
11694,,"8,880"
11694,"$1 under $25,000",2680
11694,"$25,000 under $50,000",1630
11694,"$50,000 under $75,000",1240
11694,"$75,000 under $100,000",900
11694,"$100,000 under $200,000",1720
11694,"$200,000 or more",710
,,
11697,,"2,210"
11697,"$1 under $25,000",520
11697,"$25,000 under $50,000",310
11697,"$50,000 under $75,000",280
11697,"$75,000 under $100,000",270
11697,"$100,000 under $200,000",590
11697,"$200,000 or more",240
,,
11701,,"14,630"
11701,"$1 under $25,000",5410
11701,"$25,000 under $50,000",3730
11701,"$50,000 under $75,000",2120
11701,"$75,000 under $100,000",1200
11701,"$100,000 under $200,000",1710
11701,"$200,000 or more",460
,,
11702,,"7,810"
11702,"$1 under $25,000",1940
11702,"$25,000 under $50,000",1240
11702,"$50,000 under $75,000",980
11702,"$75,000 under $100,000",840
11702,"$100,000 under $200,000",1900
11702,"$200,000 or more",910
,,
11703,,"9,210"
11703,"$1 under $25,000",2530
11703,"$25,000 under $50,000",1990
11703,"$50,000 under $75,000",1450
11703,"$75,000 under $100,000",1190
11703,"$100,000 under $200,000",1740
11703,"$200,000 or more",310
,,
11704,,"20,810"
11704,"$1 under $25,000",6360
11704,"$25,000 under $50,000",4800
11704,"$50,000 under $75,000",3300
11704,"$75,000 under $100,000",2330
11704,"$100,000 under $200,000",3500
11704,"$200,000 or more",520
,,
11705,,"4,030"
11705,"$1 under $25,000",1090
11705,"$25,000 under $50,000",560
11705,"$50,000 under $75,000",470
11705,"$75,000 under $100,000",420
11705,"$100,000 under $200,000",990
11705,"$200,000 or more",500
,,
11706,,"32,710"
11706,"$1 under $25,000",12090
11706,"$25,000 under $50,000",8630
11706,"$50,000 under $75,000",4530
11706,"$75,000 under $100,000",2770
11706,"$100,000 under $200,000",3810
11706,"$200,000 or more",880
,,
11709,,"3,540"
11709,"$1 under $25,000",990
11709,"$25,000 under $50,000",530
11709,"$50,000 under $75,000",440
11709,"$75,000 under $100,000",370
11709,"$100,000 under $200,000",800
11709,"$200,000 or more",410
,,
11710,,"17,940"
11710,"$1 under $25,000",4670
11710,"$25,000 under $50,000",2820
11710,"$50,000 under $75,000",2250
11710,"$75,000 under $100,000",1890
11710,"$100,000 under $200,000",4380
11710,"$200,000 or more",1930
,,
11713,,"5,410"
11713,"$1 under $25,000",1920
11713,"$25,000 under $50,000",1210
11713,"$50,000 under $75,000",810
11713,"$75,000 under $100,000",530
11713,"$100,000 under $200,000",730
11713,"$200,000 or more",210
,,
11714,,"12,340"
11714,"$1 under $25,000",3490
11714,"$25,000 under $50,000",2260
11714,"$50,000 under $75,000",1720
11714,"$75,000 under $100,000",1390
11714,"$100,000 under $200,000",2730
11714,"$200,000 or more",750
,,
11715,,"2,440"
11715,"$1 under $25,000",630
11715,"$25,000 under $50,000",340
11715,"$50,000 under $75,000",320
11715,"$75,000 under $100,000",240
11715,"$100,000 under $200,000",650
11715,"$200,000 or more",260
,,
11716,,"5,490"
11716,"$1 under $25,000",1540
11716,"$25,000 under $50,000",1030
11716,"$50,000 under $75,000",770
11716,"$75,000 under $100,000",640
11716,"$100,000 under $200,000",1170
11716,"$200,000 or more",340
,,
11717,,"32,270"
11717,"$1 under $25,000",14470
11717,"$25,000 under $50,000",10320
11717,"$50,000 under $75,000",4130
11717,"$75,000 under $100,000",1780
11717,"$100,000 under $200,000",1460
11717,"$200,000 or more",110
,,
11718,,"1,780"
11718,"$1 under $25,000",400
11718,"$25,000 under $50,000",230
11718,"$50,000 under $75,000",190
11718,"$75,000 under $100,000",170
11718,"$100,000 under $200,000",440
11718,"$200,000 or more",350
,,
11719,,"1,600"
11719,"$1 under $25,000",400
11719,"$25,000 under $50,000",300
11719,"$50,000 under $75,000",230
11719,"$75,000 under $100,000",170
11719,"$100,000 under $200,000",370
11719,"$200,000 or more",130
,,
11720,,"14,560"
11720,"$1 under $25,000",4320
11720,"$25,000 under $50,000",2920
11720,"$50,000 under $75,000",2050
11720,"$75,000 under $100,000",1580
11720,"$100,000 under $200,000",3020
11720,"$200,000 or more",670
,,
11721,,"3,340"
11721,"$1 under $25,000",780
11721,"$25,000 under $50,000",430
11721,"$50,000 under $75,000",370
11721,"$75,000 under $100,000",330
11721,"$100,000 under $200,000",770
11721,"$200,000 or more",660
,,
11722,,"18,990"
11722,"$1 under $25,000",7810
11722,"$25,000 under $50,000",5620
11722,"$50,000 under $75,000",2580
11722,"$75,000 under $100,000",1400
11722,"$100,000 under $200,000",1440
11722,"$200,000 or more",140
,,
11724,,"1,640"
11724,"$1 under $25,000",400
11724,"$25,000 under $50,000",160
11724,"$50,000 under $75,000",170
11724,"$75,000 under $100,000",90
11724,"$100,000 under $200,000",250
11724,"$200,000 or more",570
,,
11725,,"14,790"
11725,"$1 under $25,000",3900
11725,"$25,000 under $50,000",2170
11725,"$50,000 under $75,000",1680
11725,"$75,000 under $100,000",1490
11725,"$100,000 under $200,000",3750
11725,"$200,000 or more",1800
,,
11726,,"11,030"
11726,"$1 under $25,000",4580
11726,"$25,000 under $50,000",2990
11726,"$50,000 under $75,000",1440
11726,"$75,000 under $100,000",880
11726,"$100,000 under $200,000",980
11726,"$200,000 or more",160
,,
11727,,"14,720"
11727,"$1 under $25,000",4270
11727,"$25,000 under $50,000",3490
11727,"$50,000 under $75,000",2320
11727,"$75,000 under $100,000",1650
11727,"$100,000 under $200,000",2640
11727,"$200,000 or more",350
,,
11729,,"14,980"
11729,"$1 under $25,000",4660
11729,"$25,000 under $50,000",3340
11729,"$50,000 under $75,000",2260
11729,"$75,000 under $100,000",1650
11729,"$100,000 under $200,000",2580
11729,"$200,000 or more",490
,,
11730,,"7,530"
11730,"$1 under $25,000",2020
11730,"$25,000 under $50,000",1300
11730,"$50,000 under $75,000",970
11730,"$75,000 under $100,000",770
11730,"$100,000 under $200,000",1790
11730,"$200,000 or more",680
,,
11731,,"15,340"
11731,"$1 under $25,000",4170
11731,"$25,000 under $50,000",2360
11731,"$50,000 under $75,000",1870
11731,"$75,000 under $100,000",1520
11731,"$100,000 under $200,000",3730
11731,"$200,000 or more",1690
,,
11732,,"1,880"
11732,"$1 under $25,000",420
11732,"$25,000 under $50,000",280
11732,"$50,000 under $75,000",230
11732,"$75,000 under $100,000",170
11732,"$100,000 under $200,000",460
11732,"$200,000 or more",320
,,
11733,,"8,780"
11733,"$1 under $25,000",2140
11733,"$25,000 under $50,000",1150
11733,"$50,000 under $75,000",870
11733,"$75,000 under $100,000",740
11733,"$100,000 under $200,000",2110
11733,"$200,000 or more",1770
,,
11735,,"17,690"
11735,"$1 under $25,000",5070
11735,"$25,000 under $50,000",3330
11735,"$50,000 under $75,000",2700
11735,"$75,000 under $100,000",1950
11735,"$100,000 under $200,000",3580
11735,"$200,000 or more",1060
,,
11738,,"8,410"
11738,"$1 under $25,000",2570
11738,"$25,000 under $50,000",1690
11738,"$50,000 under $75,000",1190
11738,"$75,000 under $100,000",900
11738,"$100,000 under $200,000",1740
11738,"$200,000 or more",320
,,
11740,,"4,600"
11740,"$1 under $25,000",1270
11740,"$25,000 under $50,000",670
11740,"$50,000 under $75,000",510
11740,"$75,000 under $100,000",440
11740,"$100,000 under $200,000",1050
11740,"$200,000 or more",660
,,
11741,,"14,450"
11741,"$1 under $25,000",3890
11741,"$25,000 under $50,000",2580
11741,"$50,000 under $75,000",2190
11741,"$75,000 under $100,000",1620
11741,"$100,000 under $200,000",3400
11741,"$200,000 or more",770
,,
11742,,"6,850"
11742,"$1 under $25,000",1910
11742,"$25,000 under $50,000",1300
11742,"$50,000 under $75,000",1000
11742,"$75,000 under $100,000",800
11742,"$100,000 under $200,000",1460
11742,"$200,000 or more",380
,,
11743,,"22,220"
11743,"$1 under $25,000",5680
11743,"$25,000 under $50,000",3320
11743,"$50,000 under $75,000",2550
11743,"$75,000 under $100,000",1950
11743,"$100,000 under $200,000",4710
11743,"$200,000 or more",4010
,,
11746,,"33,650"
11746,"$1 under $25,000",10990
11746,"$25,000 under $50,000",6130
11746,"$50,000 under $75,000",4000
11746,"$75,000 under $100,000",2840
11746,"$100,000 under $200,000",5840
11746,"$200,000 or more",3850
,,
11747,,"10,960"
11747,"$1 under $25,000",2650
11747,"$25,000 under $50,000",1480
11747,"$50,000 under $75,000",1250
11747,"$75,000 under $100,000",960
11747,"$100,000 under $200,000",2470
11747,"$200,000 or more",2150
,,
11749,,"1,810"
11749,"$1 under $25,000",560
11749,"$25,000 under $50,000",460
11749,"$50,000 under $75,000",290
11749,"$75,000 under $100,000",180
11749,"$100,000 under $200,000",270
11749,"$200,000 or more",50
,,
11751,,"7,770"
11751,"$1 under $25,000",2160
11751,"$25,000 under $50,000",1500
11751,"$50,000 under $75,000",1090
11751,"$75,000 under $100,000",850
11751,"$100,000 under $200,000",1590
11751,"$200,000 or more",580
,,
11752,,"5,370"
11752,"$1 under $25,000",1590
11752,"$25,000 under $50,000",1100
11752,"$50,000 under $75,000",760
11752,"$75,000 under $100,000",570
11752,"$100,000 under $200,000",1140
11752,"$200,000 or more",210
,,
11753,,"6,440"
11753,"$1 under $25,000",1520
11753,"$25,000 under $50,000",730
11753,"$50,000 under $75,000",630
11753,"$75,000 under $100,000",490
11753,"$100,000 under $200,000",1370
11753,"$200,000 or more",1700
,,
11754,,"9,680"
11754,"$1 under $25,000",2610
11754,"$25,000 under $50,000",1620
11754,"$50,000 under $75,000",1190
11754,"$75,000 under $100,000",1000
11754,"$100,000 under $200,000",2330
11754,"$200,000 or more",930
,,
11755,,"6,280"
11755,"$1 under $25,000",1800
11755,"$25,000 under $50,000",1060
11755,"$50,000 under $75,000",870
11755,"$75,000 under $100,000",700
11755,"$100,000 under $200,000",1400
11755,"$200,000 or more",450
,,
11756,,"22,960"
11756,"$1 under $25,000",6340
11756,"$25,000 under $50,000",4410
11756,"$50,000 under $75,000",3440
11756,"$75,000 under $100,000",2700
11756,"$100,000 under $200,000",5100
11756,"$200,000 or more",970
,,
11757,,"23,540"
11757,"$1 under $25,000",7370
11757,"$25,000 under $50,000",5180
11757,"$50,000 under $75,000",3580
11757,"$75,000 under $100,000",2500
11757,"$100,000 under $200,000",4240
11757,"$200,000 or more",670
,,
11758,,"29,170"
11758,"$1 under $25,000",7640
11758,"$25,000 under $50,000",4760
11758,"$50,000 under $75,000",3910
11758,"$75,000 under $100,000",3010
11758,"$100,000 under $200,000",6800
11758,"$200,000 or more",3050
,,
11762,,"11,850"
11762,"$1 under $25,000",2920
11762,"$25,000 under $50,000",1670
11762,"$50,000 under $75,000",1510
11762,"$75,000 under $100,000",1190
11762,"$100,000 under $200,000",3270
11762,"$200,000 or more",1290
,,
11763,,"14,520"
11763,"$1 under $25,000",4580
11763,"$25,000 under $50,000",3210
11763,"$50,000 under $75,000",2080
11763,"$75,000 under $100,000",1600
11763,"$100,000 under $200,000",2570
11763,"$200,000 or more",480
,,
11764,,"6,360"
11764,"$1 under $25,000",1690
11764,"$25,000 under $50,000",890
11764,"$50,000 under $75,000",690
11764,"$75,000 under $100,000",620
11764,"$100,000 under $200,000",1690
11764,"$200,000 or more",780
,,
11765,,330
11765,"$1 under $25,000",60
11765,"$25,000 under $50,000",50
11765,"$50,000 under $75,000",30
11765,"$75,000 under $100,000",30
11765,"$100,000 under $200,000",50
11765,"$200,000 or more",110
,,
11766,,"6,190"
11766,"$1 under $25,000",1570
11766,"$25,000 under $50,000",870
11766,"$50,000 under $75,000",720
11766,"$75,000 under $100,000",600
11766,"$100,000 under $200,000",1590
11766,"$200,000 or more",840
,,
11767,,"7,250"
11767,"$1 under $25,000",1930
11767,"$25,000 under $50,000",1130
11767,"$50,000 under $75,000",860
11767,"$75,000 under $100,000",700
11767,"$100,000 under $200,000",1830
11767,"$200,000 or more",800
,,
11768,,"11,130"
11768,"$1 under $25,000",2790
11768,"$25,000 under $50,000",1380
11768,"$50,000 under $75,000",1210
11768,"$75,000 under $100,000",950
11768,"$100,000 under $200,000",2630
11768,"$200,000 or more",2170
,,
11769,,"5,080"
11769,"$1 under $25,000",1300
11769,"$25,000 under $50,000",820
11769,"$50,000 under $75,000",660
11769,"$75,000 under $100,000",590
11769,"$100,000 under $200,000",1300
11769,"$200,000 or more",410
,,
11771,,"5,150"
11771,"$1 under $25,000",1360
11771,"$25,000 under $50,000",800
11771,"$50,000 under $75,000",620
11771,"$75,000 under $100,000",410
11771,"$100,000 under $200,000",910
11771,"$200,000 or more",1050
,,
11772,,"22,800"
11772,"$1 under $25,000",7320
11772,"$25,000 under $50,000",5320
11772,"$50,000 under $75,000",3370
11772,"$75,000 under $100,000",2410
11772,"$100,000 under $200,000",3690
11772,"$200,000 or more",690
,,
11776,,"12,250"
11776,"$1 under $25,000",3890
11776,"$25,000 under $50,000",2480
11776,"$50,000 under $75,000",1640
11776,"$75,000 under $100,000",1260
11776,"$100,000 under $200,000",2460
11776,"$200,000 or more",520
,,
11777,,"4,700"
11777,"$1 under $25,000",1220
11777,"$25,000 under $50,000",700
11777,"$50,000 under $75,000",530
11777,"$75,000 under $100,000",450
11777,"$100,000 under $200,000",1100
11777,"$200,000 or more",700
,,
11778,,"6,190"
11778,"$1 under $25,000",1730
11778,"$25,000 under $50,000",1210
11778,"$50,000 under $75,000",870
11778,"$75,000 under $100,000",720
11778,"$100,000 under $200,000",1400
11778,"$200,000 or more",260
,,
11779,,"19,350"
11779,"$1 under $25,000",5600
11779,"$25,000 under $50,000",4010
11779,"$50,000 under $75,000",2940
11779,"$75,000 under $100,000",2220
11779,"$100,000 under $200,000",3890
11779,"$200,000 or more",690
,,
11780,,"7,860"
11780,"$1 under $25,000",2180
11780,"$25,000 under $50,000",1110
11780,"$50,000 under $75,000",920
11780,"$75,000 under $100,000",690
11780,"$100,000 under $200,000",1680
11780,"$200,000 or more",1280
,,
11782,,"8,120"
11782,"$1 under $25,000",2080
11782,"$25,000 under $50,000",1290
11782,"$50,000 under $75,000",1050
11782,"$75,000 under $100,000",820
11782,"$100,000 under $200,000",1990
11782,"$200,000 or more",890
,,
11783,,"11,260"
11783,"$1 under $25,000",2770
11783,"$25,000 under $50,000",1720
11783,"$50,000 under $75,000",1500
11783,"$75,000 under $100,000",1200
11783,"$100,000 under $200,000",2950
11783,"$200,000 or more",1120
,,
11784,,"12,360"
11784,"$1 under $25,000",3940
11784,"$25,000 under $50,000",2740
11784,"$50,000 under $75,000",1860
11784,"$75,000 under $100,000",1350
11784,"$100,000 under $200,000",2200
11784,"$200,000 or more",270
,,
11786,,"3,150"
11786,"$1 under $25,000",870
11786,"$25,000 under $50,000",440
11786,"$50,000 under $75,000",300
11786,"$75,000 under $100,000",260
11786,"$100,000 under $200,000",840
11786,"$200,000 or more",440
,,
11787,,"17,530"
11787,"$1 under $25,000",4530
11787,"$25,000 under $50,000",2460
11787,"$50,000 under $75,000",2010
11787,"$75,000 under $100,000",1760
11787,"$100,000 under $200,000",4580
11787,"$200,000 or more",2190
,,
11788,,"8,660"
11788,"$1 under $25,000",2290
11788,"$25,000 under $50,000",1390
11788,"$50,000 under $75,000",1130
11788,"$75,000 under $100,000",870
11788,"$100,000 under $200,000",2140
11788,"$200,000 or more",840
,,
11789,,"3,730"
11789,"$1 under $25,000",1050
11789,"$25,000 under $50,000",720
11789,"$50,000 under $75,000",580
11789,"$75,000 under $100,000",470
11789,"$100,000 under $200,000",770
11789,"$200,000 or more",140
,,
11790,,"6,740"
11790,"$1 under $25,000",1790
11790,"$25,000 under $50,000",930
11790,"$50,000 under $75,000",680
11790,"$75,000 under $100,000",610
11790,"$100,000 under $200,000",1720
11790,"$200,000 or more",1010
,,
11791,,"12,150"
11791,"$1 under $25,000",2890
11791,"$25,000 under $50,000",1450
11791,"$50,000 under $75,000",1190
11791,"$75,000 under $100,000",960
11791,"$100,000 under $200,000",2640
11791,"$200,000 or more",3020
,,
11792,,"4,280"
11792,"$1 under $25,000",1060
11792,"$25,000 under $50,000",640
11792,"$50,000 under $75,000",510
11792,"$75,000 under $100,000",450
11792,"$100,000 under $200,000",1130
11792,"$200,000 or more",490
,,
11793,,"16,860"
11793,"$1 under $25,000",4170
11793,"$25,000 under $50,000",2460
11793,"$50,000 under $75,000",2050
11793,"$75,000 under $100,000",1780
11793,"$100,000 under $200,000",4530
11793,"$200,000 or more",1870
,,
11795,,"13,200"
11795,"$1 under $25,000",3470
11795,"$25,000 under $50,000",2160
11795,"$50,000 under $75,000",1720
11795,"$75,000 under $100,000",1370
11795,"$100,000 under $200,000",3180
11795,"$200,000 or more",1300
,,
11796,,"1,880"
11796,"$1 under $25,000",480
11796,"$25,000 under $50,000",310
11796,"$50,000 under $75,000",210
11796,"$75,000 under $100,000",230
11796,"$100,000 under $200,000",510
11796,"$200,000 or more",140
,,
11797,,"4,610"
11797,"$1 under $25,000",1160
11797,"$25,000 under $50,000",520
11797,"$50,000 under $75,000",450
11797,"$75,000 under $100,000",330
11797,"$100,000 under $200,000",790
11797,"$200,000 or more",1360
,,
11798,,"8,610"
11798,"$1 under $25,000",3720
11798,"$25,000 under $50,000",2470
11798,"$50,000 under $75,000",1110
11798,"$75,000 under $100,000",500
11798,"$100,000 under $200,000",710
11798,"$200,000 or more",100
,,
11801,,"22,000"
11801,"$1 under $25,000",7090
11801,"$25,000 under $50,000",4540
11801,"$50,000 under $75,000",3110
11801,"$75,000 under $100,000",2250
11801,"$100,000 under $200,000",4160
11801,"$200,000 or more",850
,,
11803,,"14,230"
11803,"$1 under $25,000",3340
11803,"$25,000 under $50,000",1750
11803,"$50,000 under $75,000",1610
11803,"$75,000 under $100,000",1300
11803,"$100,000 under $200,000",3710
11803,"$200,000 or more",2520
,,
11804,,"2,510"
11804,"$1 under $25,000",570
11804,"$25,000 under $50,000",300
11804,"$50,000 under $75,000",300
11804,"$75,000 under $100,000",230
11804,"$100,000 under $200,000",620
11804,"$200,000 or more",490
,,
11901,,"13,030"
11901,"$1 under $25,000",5090
11901,"$25,000 under $50,000",3430
11901,"$50,000 under $75,000",1770
11901,"$75,000 under $100,000",1050
11901,"$100,000 under $200,000",1370
11901,"$200,000 or more",320
,,
11933,,"3,540"
11933,"$1 under $25,000",1110
11933,"$25,000 under $50,000",740
11933,"$50,000 under $75,000",460
11933,"$75,000 under $100,000",380
11933,"$100,000 under $200,000",650
11933,"$200,000 or more",200
,,
11934,,"4,010"
11934,"$1 under $25,000",1130
11934,"$25,000 under $50,000",720
11934,"$50,000 under $75,000",470
11934,"$75,000 under $100,000",420
11934,"$100,000 under $200,000",970
11934,"$200,000 or more",300
,,
11935,,"1,950"
11935,"$1 under $25,000",560
11935,"$25,000 under $50,000",330
11935,"$50,000 under $75,000",250
11935,"$75,000 under $100,000",190
11935,"$100,000 under $200,000",400
11935,"$200,000 or more",220
,,
11937,,"8,870"
11937,"$1 under $25,000",3080
11937,"$25,000 under $50,000",1820
11937,"$50,000 under $75,000",1070
11937,"$75,000 under $100,000",660
11937,"$100,000 under $200,000",1280
11937,"$200,000 or more",960
,,
11939,,530
11939,"$1 under $25,000",140
11939,"$25,000 under $50,000",110
11939,"$50,000 under $75,000",80
11939,"$75,000 under $100,000",60
11939,"$100,000 under $200,000",90
11939,"$200,000 or more",50
,,
11940,,"2,770"
11940,"$1 under $25,000",780
11940,"$25,000 under $50,000",500
11940,"$50,000 under $75,000",340
11940,"$75,000 under $100,000",290
11940,"$100,000 under $200,000",620
11940,"$200,000 or more",240
,,
11941,,"1,400"
11941,"$1 under $25,000",370
11941,"$25,000 under $50,000",230
11941,"$50,000 under $75,000",180
11941,"$75,000 under $100,000",140
11941,"$100,000 under $200,000",360
11941,"$200,000 or more",120
,,
11942,,"2,610"
11942,"$1 under $25,000",830
11942,"$25,000 under $50,000",470
11942,"$50,000 under $75,000",320
11942,"$75,000 under $100,000",240
11942,"$100,000 under $200,000",490
11942,"$200,000 or more",260
,,
11944,,"2,350"
11944,"$1 under $25,000",830
11944,"$25,000 under $50,000",560
11944,"$50,000 under $75,000",270
11944,"$75,000 under $100,000",210
11944,"$100,000 under $200,000",320
11944,"$200,000 or more",160
,,
11946,,"7,520"
11946,"$1 under $25,000",2600
11946,"$25,000 under $50,000",1680
11946,"$50,000 under $75,000",1070
11946,"$75,000 under $100,000",660
