Geographic Area,"Total Population April 1, 2000r","Total Population April 1, 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Port Chester village,27867,28967,1100,3.9,160,36,,,59223,A
Port Dickinson village,1697,1641,-56,-3.3,160,36,,,59245,A
Port Henry village,1152,1194,42,3.6,160,36,,,59333,A
Port Jefferson village,7837,7750,-87,-1.1,160,36,,,59355,A
Port Jervis city,8860,8828,-32,-0.4,160,36,,,59388,A
Port Leyden village,665,672,7,1.1,160,36,,,59454,A
Port Washington North village,2700,3154,454,16.8,160,36,,,59531,A
Portville village,1024,1014,-10,-1,160,36,,,59498,A
Potsdam village,9378,9428,50,0.5,160,36,,,59564,A
Poughkeepsie city,30157,32736,2579,8.6,160,36,,,59641,A
Prospect village,330,291,-39,-11.8,160,36,,,59883,A
Pulaski village,2411,2365,-46,-1.9,160,36,,,59960,A
Quogue village,1026,967,-59,-5.8,160,36,,,60422,A
Randolph village,1316,1286,-30,-2.3,160,36,,,60576,A
Ravena village,3369,3268,-101,-3,160,36,,,60675,A
Red Creek village,521,532,11,2.1,160,36,,,60829,A
Red Hook village,1805,1961,156,8.6,160,36,,,60895,A
Remsen village,531,508,-23,-4.3,160,36,,,61115,A
Rensselaer city,7892,9392,1500,19,160,36,,,61148,A
Rensselaer Falls village,337,332,-5,-1.5,160,36,,,61159,A
Rhinebeck village,3052,2657,-395,-12.9,160,36,,,61346,A
Richburg village,448,450,2,0.4,160,36,,,61434,A
Richfield Springs village,1260,1264,4,0.3,160,36,,,61489,A
Richmondville village,786,918,132,16.8,160,36,,,61588,A
Richville village,274,323,49,17.9,160,36,,,61621,A
Riverside village,594,497,-97,-16.3,160,36,,,62061,A
Rochester city,219782,210565,-9217,-4.2,160,36,,,63000,A
Rockville Centre village,24568,24023,-545,-2.2,160,36,,,63264,A
Rome city,34950,33725,-1225,-3.5,160,36,,,63418,A
Roslyn Estates village,1210,1251,41,3.4,160,36,,,63792,A
Roslyn Harbor village,1025,1051,26,2.5,160,36,,,63803,A
Roslyn village,2570,2770,200,7.8,160,36,,,63770,A
Round Lake village,604,623,19,3.1,160,36,,,63957,A
Rouses Point village,2277,2209,-68,-3,160,36,,,63979,A
Rushville village,621,677,56,9,160,36,,,64199,A
Russell Gardens village,1074,945,-129,-12,160,36,,,64232,A
Rye Brook village,8629,9347,718,8.3,160,36,,,64325,A
Rye city,14953,15720,767,5.1,160,36,,,64309,A
Sackets Harbor village,1382,1450,68,4.9,160,36,,,64408,A
Saddle Rock village,791,830,39,4.9,160,36,,,64430,A
Sag Harbor village,2329,2169,-160,-6.9,160,36,,,64485,A
Salamanca city,6097,5815,-282,-4.6,160,36,,,64749,A
Salem village,964,946,-18,-1.9,160,36,,,64771,A
Saltaire village,43,37,-6,-14,160,36,,,64881,A
Sands Point village,2726,2675,-51,-1.9,160,36,,,65035,A
Sandy Creek village,755,771,16,2.1,160,36,,,65068,A
Saranac Lake village,5060,5406,346,6.8,160,36,,,65233,A
Saratoga Springs city,26186,26586,400,1.5,160,36,,,65255,A
Saugerties village,3908,3971,63,1.6,160,36,,,65288,A
Savona village,822,827,5,0.6,160,36,,,65354,A
Scarsdale village,17825,17166,-659,-3.7,160,36,,,65431,A
Schaghticoke village,676,592,-84,-12.4,160,36,,,65475,A
Schenectady city,61821,66135,4314,7,160,36,,,65508,A
Schoharie village,1030,922,-108,-10.5,160,36,,,65585,A
Schuylerville village,1197,1386,189,15.8,160,36,,,65750,A
Scotia village,7961,7729,-232,-2.9,160,36,,,65893,A
Scottsville village,2128,2001,-127,-6,160,36,,,65959,A
Sea Cliff village,5066,4995,-71,-1.4,160,36,,,66047,A
Seneca Falls village,6861,6681,-180,-2.6,160,36,,,66322,A
Sharon Springs village,547,558,11,2,160,36,,,66663,A
Sherburne village,1455,1367,-88,-6,160,36,,,66883,A
Sherman village,714,730,16,2.2,160,36,,,66949,A
Sherrill city,3158,3071,-87,-2.8,160,36,,,66993,A
Shoreham village,420,531,111,26.4,160,36,,,67191,A
Shortsville village,1320,1439,119,9,160,36,,,67257,A
Sidney village,4068,3900,-168,-4.1,160,36,,,67334,A
Silver Creek village,2896,2656,-240,-8.3,160,36,,,67411,A
Silver Springs village,844,782,-62,-7.3,160,36,,,67466,A
Sinclairville village,665,588,-77,-11.6,160,36,,,67488,A
Skaneateles village,2616,2450,-166,-6.3,160,36,,,67510,A
Sleepy Hollow village,9212,9870,658,7.1,160,36,,,67638,A
Sloan village,3775,3661,-114,-3,160,36,,,67686,A
Sloatsburg village,3156,3039,-117,-3.7,160,36,,,67708,A
Smyrna village,241,213,-28,-11.6,160,36,,,68099,A
Sodus Point village,1160,900,-260,-22.4,160,36,,,68242,A
Sodus village,1735,1819,84,4.8,160,36,,,68209,A
Solvay village,6845,6584,-261,-3.8,160,36,,,68286,A
South Blooming Grove village a,,3234,,,160,36,,,68610,A
South Corning village,1147,1145,-2,-0.2,160,36,,,68847,A
South Dayton village,662,620,-42,-6.3,160,36,,,68891,A
South Floral Park village,1578,1764,186,11.8,160,36,,,69023,A
South Glens Falls village,3368,3518,150,4.5,160,36,,,69078,A
South Nyack village,3549,3510,-39,-1.1,160,36,,,69441,A
Southampton village,3965,3109,-856,-21.6,160,36,,,68462,A
Speculator village,348,324,-24,-6.9,160,36,,,70123,A
Spencer village,731,759,28,3.8,160,36,,,70167,A
Spencerport village,3559,3601,42,1.2,160,36,,,70189,A
Spring Valley village,24091,31347,7256,30.1,160,36,,,70420,A
Springville village,4249,4296,47,1.1,160,36,,,70442,A
St. Johnsville village,1676,1732,56,3.3,160,36,,,64639,A
Stamford village,1265,1119,-146,-11.5,160,36,,,70618,A
