Geographic Area,"Total Population April 1, 2000r","Total Population April 1, 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Stewart Manor village,1935,1896,-39,-2,160,36,,,71267,A
Stillwater village,1720,1738,18,1,160,36,,,71322,A
Suffern village,10982,10723,-259,-2.4,160,36,,,71894,A
Sylvan Beach village,1071,897,-174,-16.2,160,36,,,72521,A
Syracuse city,146464,145170,-1294,-0.9,160,36,,,73000,A
Tannersville village,456,539,83,18.2,160,36,,,73143,A
Tarrytown village,11090,11277,187,1.7,160,36,,,73176,A
Theresa village,812,863,51,6.3,160,36,,,73517,A
Thomaston village,2607,2617,10,0.4,160,36,,,73605,A
Tivoli village,1163,1118,-45,-3.9,160,36,,,74023,A
Tonawanda city,16136,15130,-1006,-6.2,160,36,,,74166,A
Troy city,49172,50129,957,1.9,160,36,,,75484,A
Trumansburg village,1778,1797,19,1.1,160,36,,,75506,A
Tuckahoe village,6208,6486,278,4.5,160,36,,,75583,A
Tully village,924,873,-51,-5.5,160,36,,,75627,A
Tupper Lake village,3985,3667,-318,-8,160,36,,,75671,A
Turin village,263,232,-31,-11.8,160,36,,,75682,A
Tuxedo Park village,731,623,-108,-14.8,160,36,,,75803,A
Unadilla village,1125,1128,3,0.3,160,36,,,76001,A
Union Springs village,1074,1197,123,11.5,160,36,,,76155,A
Unionville village,536,612,76,14.2,160,36,,,76210,A
Upper Brookville village,1801,1698,-103,-5.7,160,36,,,76331,A
Upper Nyack village,1863,2063,200,10.7,160,36,,,76386,A
Utica city,60599,62235,1636,2.7,160,36,,,76540,A
Valatie village,1712,1819,107,6.3,160,36,,,76617,A
Valley Falls village,491,466,-25,-5.1,160,36,,,76672,A
Valley Stream village,36320,37511,1191,3.3,160,36,,,76705,A
Van Etten village,581,537,-44,-7.6,160,36,,,76881,A
Vernon village,1155,1172,17,1.5,160,36,,,77112,A
Victor village,2433,2696,263,10.8,160,36,,,77376,A
Victory village,544,605,61,11.2,160,36,,,77431,A
Village of the Branch village,1892,1807,-85,-4.5,160,36,,,77519,A
Voorheesville village,2775,2789,14,0.5,160,36,,,77684,A
Waddington village,923,972,49,5.3,160,36,,,77728,A
Walden village,6289,6978,689,11,160,36,,,77849,A
Walton village,3071,3088,17,0.6,160,36,,,78036,A
Wampsville village,561,543,-18,-3.2,160,36,,,78113,A
Wappingers Falls village,4929,5522,593,12,160,36,,,78168,A
Warsaw village,3814,3473,-341,-8.9,160,36,,,78333,A
Warwick village,6404,6731,327,5.1,160,36,,,78355,A
Washingtonville village,5851,5899,48,0.8,160,36,,,78465,A
Waterford village,2204,1990,-214,-9.7,160,36,,,78520,A
Waterloo village,5176,5171,-5,-0.1,160,36,,,78553,A
Watertown city,26705,27023,318,1.2,160,36,,,78608,A
Waterville village,1721,1583,-138,-8,160,36,,,78663,A
Watervliet city,9904,10254,350,3.5,160,36,,,78674,A
Watkins Glen village,2158,1859,-299,-13.9,160,36,,,78696,A
Waverly village,4607,4444,-163,-3.5,160,36,,,78806,A
Wayland village,1893,1865,-28,-1.5,160,36,,,78850,A
Webster village,5216,5399,183,3.5,160,36,,,78960,A
Weedsport village,2017,1815,-202,-10,160,36,,,79015,A
Wellsburg village,631,580,-51,-8.1,160,36,,,79081,A
Wellsville village,5171,4679,-492,-9.5,160,36,,,79092,A
Wesley Hills village,4852,5628,776,16,160,36,,,79174,A
West Carthage village,2106,2012,-94,-4.5,160,36,,,79499,A
West Hampton Dunes village,11,55,44,400,160,36,,,80186,A
West Haverstraw village,10304,10165,-139,-1.3,160,36,,,80203,A
West Winfield village,868,826,-42,-4.8,160,36,,,81292,A
Westbury village,14364,15146,782,5.4,160,36,,,79444,A
Westfield village,3481,3224,-257,-7.4,160,36,,,79939,A
Westhampton Beach village,1897,1721,-176,-9.3,160,36,,,80181,A
White Plains city,53075,56853,3778,7.1,160,36,,,81677,A
Whitehall village,2667,2614,-53,-2,160,36,,,81622,A
Whitesboro village,3924,3772,-152,-3.9,160,36,,,81710,A
Whitney Point village,981,964,-17,-1.7,160,36,,,81831,A
Williamsville village,5573,5300,-273,-4.9,160,36,,,82084,A
Williston Park village,7237,7287,50,0.7,160,36,,,82117,A
Wilson village,1213,1264,51,4.2,160,36,,,82359,A
Windsor village,901,916,15,1.7,160,36,,,82524,A
Wolcott village,1712,1701,-11,-0.6,160,36,,,82678,A
Woodbury village a,,10686,,,160,36,,,82750,A
Woodridge village,906,847,-59,-6.5,160,36,,,82953,A
Woodsburgh village,831,778,-53,-6.4,160,36,,,82986,A
Wurtsboro village,1234,1246,12,1,160,36,,,83272,A
Wyoming village,513,434,-79,-15.4,160,36,,,83371,A
Yonkers city,196001,195976,-25,0,160,36,,,84000,A
Yorkville village,2675,2689,14,0.5,160,36,,,84099,A
Youngstown village,1957,1935,-22,-1.1,160,36,,,84143,A
