"ZIP
code [1]",Size of adjusted gross income,Number of returns
00000,Total,"9,310,490"
00000,"$1 under $25,000",3670420
00000,"$25,000 under $50,000",2067890
00000,"$50,000 under $75,000",1230880
00000,"$75,000 under $100,000",789220
00000,"$100,000 under $200,000",1112290
00000,"$200,000 or more",439790
,,
10001,,"13,720"
10001,"$1 under $25,000",4140
10001,"$25,000 under $50,000",2480
10001,"$50,000 under $75,000",1820
10001,"$75,000 under $100,000",1300
10001,"$100,000 under $200,000",2080
10001,"$200,000 or more",1900
,,
10002,,"43,410"
10002,"$1 under $25,000",24180
10002,"$25,000 under $50,000",8440
10002,"$50,000 under $75,000",4360
10002,"$75,000 under $100,000",2330
10002,"$100,000 under $200,000",2790
10002,"$200,000 or more",1310
,,
10003,,"29,340"
10003,"$1 under $25,000",5740
10003,"$25,000 under $50,000",4510
10003,"$50,000 under $75,000",4450
10003,"$75,000 under $100,000",3230
10003,"$100,000 under $200,000",5880
10003,"$200,000 or more",5530
,,
10004,,"2,580"
10004,"$1 under $25,000",360
10004,"$25,000 under $50,000",310
10004,"$50,000 under $75,000",290
10004,"$75,000 under $100,000",240
10004,"$100,000 under $200,000",550
10004,"$200,000 or more",830
,,
10005,,"5,660"
10005,"$1 under $25,000",800
10005,"$25,000 under $50,000",810
10005,"$50,000 under $75,000",790
10005,"$75,000 under $100,000",610
10005,"$100,000 under $200,000",1120
10005,"$200,000 or more",1530
,,
10006,,"2,360"
10006,"$1 under $25,000",360
10006,"$25,000 under $50,000",380
10006,"$50,000 under $75,000",350
10006,"$75,000 under $100,000",250
10006,"$100,000 under $200,000",600
10006,"$200,000 or more",420
,,
10007,,"3,460"
10007,"$1 under $25,000",510
10007,"$25,000 under $50,000",330
10007,"$50,000 under $75,000",280
10007,"$75,000 under $100,000",230
10007,"$100,000 under $200,000",600
10007,"$200,000 or more",1510
,,
10009,,"32,170"
10009,"$1 under $25,000",10650
10009,"$25,000 under $50,000",7110
10009,"$50,000 under $75,000",5370
10009,"$75,000 under $100,000",3300
10009,"$100,000 under $200,000",4110
10009,"$200,000 or more",1630
,,
10010,,"17,270"
10010,"$1 under $25,000",3030
10010,"$25,000 under $50,000",2610
10010,"$50,000 under $75,000",2660
10010,"$75,000 under $100,000",1940
10010,"$100,000 under $200,000",3680
10010,"$200,000 or more",3350
,,
10011,,"30,420"
10011,"$1 under $25,000",5870
10011,"$25,000 under $50,000",4300
10011,"$50,000 under $75,000",4030
10011,"$75,000 under $100,000",3120
10011,"$100,000 under $200,000",6520
10011,"$200,000 or more",6580
,,
10012,,"12,780"
10012,"$1 under $25,000",2790
10012,"$25,000 under $50,000",2090
10012,"$50,000 under $75,000",1880
10012,"$75,000 under $100,000",1410
10012,"$100,000 under $200,000",2360
10012,"$200,000 or more",2250
,,
10013,,"15,060"
10013,"$1 under $25,000",5130
10013,"$25,000 under $50,000",2220
10013,"$50,000 under $75,000",1470
10013,"$75,000 under $100,000",1030
10013,"$100,000 under $200,000",1880
10013,"$200,000 or more",3330
,,
10014,,"18,950"
10014,"$1 under $25,000",3320
10014,"$25,000 under $50,000",2620
10014,"$50,000 under $75,000",2560
10014,"$75,000 under $100,000",2090
10014,"$100,000 under $200,000",4270
10014,"$200,000 or more",4090
,,
10016,,"30,970"
10016,"$1 under $25,000",5450
10016,"$25,000 under $50,000",5070
10016,"$50,000 under $75,000",5140
10016,"$75,000 under $100,000",3530
10016,"$100,000 under $200,000",6350
10016,"$200,000 or more",5430
,,
10017,,"11,870"
10017,"$1 under $25,000",2020
10017,"$25,000 under $50,000",1580
10017,"$50,000 under $75,000",1640
10017,"$75,000 under $100,000",1300
10017,"$100,000 under $200,000",2430
10017,"$200,000 or more",2900
,,
10018,,"6,230"
10018,"$1 under $25,000",1580
10018,"$25,000 under $50,000",1130
10018,"$50,000 under $75,000",780
10018,"$75,000 under $100,000",570
10018,"$100,000 under $200,000",1060
10018,"$200,000 or more",1110
,,
10019,,"24,200"
10019,"$1 under $25,000",5230
10019,"$25,000 under $50,000",3990
10019,"$50,000 under $75,000",3390
10019,"$75,000 under $100,000",2500
10019,"$100,000 under $200,000",4880
10019,"$200,000 or more",4210
,,
10021,,"23,860"
10021,"$1 under $25,000",3930
10021,"$25,000 under $50,000",3100
10021,"$50,000 under $75,000",3290
10021,"$75,000 under $100,000",2450
10021,"$100,000 under $200,000",4680
10021,"$200,000 or more",6410
,,
10022,,"19,780"
10022,"$1 under $25,000",3060
10022,"$25,000 under $50,000",2340
10022,"$50,000 under $75,000",2450
10022,"$75,000 under $100,000",1980
10022,"$100,000 under $200,000",4270
10022,"$200,000 or more",5680
,,
10023,,"33,900"
