"ZIP
code [1]",Size of adjusted gross income,Number of returns
10023,"$1 under $25,000",6500
10023,"$25,000 under $50,000",4240
10023,"$50,000 under $75,000",3960
10023,"$75,000 under $100,000",3350
10023,"$100,000 under $200,000",7160
10023,"$200,000 or more",8690
,,
10024,,"30,820"
10024,"$1 under $25,000",6440
10024,"$25,000 under $50,000",4110
10024,"$50,000 under $75,000",3770
10024,"$75,000 under $100,000",2920
10024,"$100,000 under $200,000",5830
10024,"$200,000 or more",7750
,,
10025,,"46,200"
10025,"$1 under $25,000",13780
10025,"$25,000 under $50,000",8540
10025,"$50,000 under $75,000",6200
10025,"$75,000 under $100,000",4080
10025,"$100,000 under $200,000",7150
10025,"$200,000 or more",6450
,,
10026,,"17,660"
10026,"$1 under $25,000",7720
10026,"$25,000 under $50,000",4180
10026,"$50,000 under $75,000",2260
10026,"$75,000 under $100,000",1280
10026,"$100,000 under $200,000",1490
10026,"$200,000 or more",730
,,
10027,,"26,780"
10027,"$1 under $25,000",12520
10027,"$25,000 under $50,000",6490
10027,"$50,000 under $75,000",3150
10027,"$75,000 under $100,000",1600
10027,"$100,000 under $200,000",2020
10027,"$200,000 or more",1000
,,
10028,,"25,370"
10028,"$1 under $25,000",4540
10028,"$25,000 under $50,000",3390
10028,"$50,000 under $75,000",3800
10028,"$75,000 under $100,000",2800
10028,"$100,000 under $200,000",4950
10028,"$200,000 or more",5890
,,
10029,,"34,300"
10029,"$1 under $25,000",17650
10029,"$25,000 under $50,000",9050
10029,"$50,000 under $75,000",3940
10029,"$75,000 under $100,000",1550
10029,"$100,000 under $200,000",1430
10029,"$200,000 or more",680
,,
10030,,"13,240"
10030,"$1 under $25,000",6940
10030,"$25,000 under $50,000",3560
10030,"$50,000 under $75,000",1510
10030,"$75,000 under $100,000",590
10030,"$100,000 under $200,000",500
10030,"$200,000 or more",140
,,
10031,,"28,740"
10031,"$1 under $25,000",15460
10031,"$25,000 under $50,000",7580
10031,"$50,000 under $75,000",3170
10031,"$75,000 under $100,000",1260
10031,"$100,000 under $200,000",1020
10031,"$200,000 or more",250
,,
10032,,"31,540"
10032,"$1 under $25,000",18280
10032,"$25,000 under $50,000",7600
10032,"$50,000 under $75,000",3160
10032,"$75,000 under $100,000",1200
10032,"$100,000 under $200,000",1080
10032,"$200,000 or more",220
,,
10033,,"27,110"
10033,"$1 under $25,000",14520
10033,"$25,000 under $50,000",6360
10033,"$50,000 under $75,000",2830
10033,"$75,000 under $100,000",1370
10033,"$100,000 under $200,000",1570
10033,"$200,000 or more",460
,,
10034,,"20,340"
10034,"$1 under $25,000",10570
10034,"$25,000 under $50,000",4830
10034,"$50,000 under $75,000",2460
10034,"$75,000 under $100,000",1150
10034,"$100,000 under $200,000",1110
10034,"$200,000 or more",220
,,
10035,,"15,360"
10035,"$1 under $25,000",8020
10035,"$25,000 under $50,000",3820
10035,"$50,000 under $75,000",1720
10035,"$75,000 under $100,000",770
10035,"$100,000 under $200,000",810
10035,"$200,000 or more",220
,,
10036,,"17,980"
10036,"$1 under $25,000",4760
10036,"$25,000 under $50,000",3320
10036,"$50,000 under $75,000",2590
10036,"$75,000 under $100,000",1840
10036,"$100,000 under $200,000",3050
10036,"$200,000 or more",2420
,,
10037,,"10,280"
10037,"$1 under $25,000",4150
10037,"$25,000 under $50,000",2800
10037,"$50,000 under $75,000",1710
10037,"$75,000 under $100,000",890
10037,"$100,000 under $200,000",650
10037,"$200,000 or more",80
,,
10038,,"12,300"
10038,"$1 under $25,000",3860
10038,"$25,000 under $50,000",2260
10038,"$50,000 under $75,000",1640
10038,"$75,000 under $100,000",1140
10038,"$100,000 under $200,000",1980
10038,"$200,000 or more",1420
,,
10039,,"13,400"
10039,"$1 under $25,000",7120
10039,"$25,000 under $50,000",3430
10039,"$50,000 under $75,000",1580
10039,"$75,000 under $100,000",640
10039,"$100,000 under $200,000",530
10039,"$200,000 or more",100
,,
10040,,"21,670"
10040,"$1 under $25,000",11200
10040,"$25,000 under $50,000",5430
10040,"$50,000 under $75,000",2530
10040,"$75,000 under $100,000",1150
10040,"$100,000 under $200,000",1080
10040,"$200,000 or more",280
,,
10044,,"4,160"
10044,"$1 under $25,000",1220
10044,"$25,000 under $50,000",790
10044,"$50,000 under $75,000",630
10044,"$75,000 under $100,000",430
10044,"$100,000 under $200,000",770
10044,"$200,000 or more",320
,,
10065,,"15,670"
10065,"$1 under $25,000",2620
10065,"$25,000 under $50,000",2200
10065,"$50,000 under $75,000",2110
10065,"$75,000 under $100,000",1580
10065,"$100,000 under $200,000",3100
10065,"$200,000 or more",4060
,,
10069,,"2,660"
10069,"$1 under $25,000",340
10069,"$25,000 under $50,000",220
10069,"$50,000 under $75,000",250
10069,"$75,000 under $100,000",170
10069,"$100,000 under $200,000",550
10069,"$200,000 or more",1130
,,
10075,,"14,330"
10075,"$1 under $25,000",2530
10075,"$25,000 under $50,000",1900
10075,"$50,000 under $75,000",2060
10075,"$75,000 under $100,000",1600
10075,"$100,000 under $200,000",2810
10075,"$200,000 or more",3430
,,
10128,,"32,510"
10128,"$1 under $25,000",6370
10128,"$25,000 under $50,000",5110
10128,"$50,000 under $75,000",4960
10128,"$75,000 under $100,000",3400
10128,"$100,000 under $200,000",5900
10128,"$200,000 or more",6770
,,
10162,,700
10162,"$1 under $25,000",90
10162,"$25,000 under $50,000",60
10162,"$50,000 under $75,000",50
10162,"$75,000 under $100,000",60
10162,"$100,000 under $200,000",180
10162,"$200,000 or more",260
,,
10280,,"4,160"
10280,"$1 under $25,000",590
10280,"$25,000 under $50,000",390
10280,"$50,000 under $75,000",460
10280,"$75,000 under $100,000",420
10280,"$100,000 under $200,000",1200
10280,"$200,000 or more",1100
,,
10282,,"2,400"
10282,"$1 under $25,000",280
10282,"$25,000 under $50,000",150
10282,"$50,000 under $75,000",170
10282,"$75,000 under $100,000",150
10282,"$100,000 under $200,000",450
10282,"$200,000 or more",1200
,,
10301,,"17,240"
10301,"$1 under $25,000",6420
10301,"$25,000 under $50,000",3830
10301,"$50,000 under $75,000",2470
10301,"$75,000 under $100,000",1650
10301,"$100,000 under $200,000",2170
10301,"$200,000 or more",700
,,
10302,,"7,710"
10302,"$1 under $25,000",3370
10302,"$25,000 under $50,000",1700
10302,"$50,000 under $75,000",1000
10302,"$75,000 under $100,000",710
10302,"$100,000 under $200,000",830
10302,"$200,000 or more",100
,,
10303,,"11,700"
10303,"$1 under $25,000",5330
10303,"$25,000 under $50,000",2780
10303,"$50,000 under $75,000",1530
10303,"$75,000 under $100,000",970
10303,"$100,000 under $200,000",1020
10303,"$200,000 or more",70
,,
10304,,"18,950"
10304,"$1 under $25,000",8300
10304,"$25,000 under $50,000",4150
10304,"$50,000 under $75,000",2310
10304,"$75,000 under $100,000",1480
10304,"$100,000 under $200,000",1980
10304,"$200,000 or more",730
,,
10305,,"18,720"
10305,"$1 under $25,000",6720
10305,"$25,000 under $50,000",3990
10305,"$50,000 under $75,000",2780
10305,"$75,000 under $100,000",2040
10305,"$100,000 under $200,000",2710
10305,"$200,000 or more",480
,,
10306,,"25,970"
10306,"$1 under $25,000",8370
10306,"$25,000 under $50,000",5060
10306,"$50,000 under $75,000",3840
10306,"$75,000 under $100,000",2920
10306,"$100,000 under $200,000",4780
10306,"$200,000 or more",1000
,,
10307,,"6,220"
10307,"$1 under $25,000",1900
10307,"$25,000 under $50,000",1010
10307,"$50,000 under $75,000",810
10307,"$75,000 under $100,000",720
10307,"$100,000 under $200,000",1370
10307,"$200,000 or more",410
,,
10308,,"13,300"
10308,"$1 under $25,000",3910
10308,"$25,000 under $50,000",2400
10308,"$50,000 under $75,000",1940
10308,"$75,000 under $100,000",1690
10308,"$100,000 under $200,000",2860
10308,"$200,000 or more",500
,,
10309,,"14,630"
10309,"$1 under $25,000",4180
10309,"$25,000 under $50,000",2600
10309,"$50,000 under $75,000",2030
10309,"$75,000 under $100,000",1780
10309,"$100,000 under $200,000",3220
10309,"$200,000 or more",820
,,
10310,,"10,990"
10310,"$1 under $25,000",4330
10310,"$25,000 under $50,000",2320
10310,"$50,000 under $75,000",1410
10310,"$75,000 under $100,000",1040
10310,"$100,000 under $200,000",1570
10310,"$200,000 or more",320
,,
10312,,"28,440"
10312,"$1 under $25,000",8160
10312,"$25,000 under $50,000",4970
10312,"$50,000 under $75,000",4140
10312,"$75,000 under $100,000",3630
10312,"$100,000 under $200,000",6200
10312,"$200,000 or more",1340
,,
10314,,"39,620"
10314,"$1 under $25,000",12830
10314,"$25,000 under $50,000",7860
10314,"$50,000 under $75,000",5870
10314,"$75,000 under $100,000",4660
10314,"$100,000 under $200,000",7050
10314,"$200,000 or more",1350
,,
10451,,"22,270"
10451,"$1 under $25,000",12520
10451,"$25,000 under $50,000",6140
10451,"$50,000 under $75,000",2270
10451,"$75,000 under $100,000",860
10451,"$100,000 under $200,000",450
10451,"$200,000 or more",30
,,
10452,,"35,350"
10452,"$1 under $25,000",22630
10452,"$25,000 under $50,000",8870
10452,"$50,000 under $75,000",2760
10452,"$75,000 under $100,000",740
10452,"$100,000 under $200,000",350
10452,"$200,000 or more",**
,,
10453,,"37,070"
10453,"$1 under $25,000",24570
10453,"$25,000 under $50,000",8870
10453,"$50,000 under $75,000",2490
10453,"$75,000 under $100,000",770
10453,"$100,000 under $200,000",370
10453,"$200,000 or more",**
,,
10454,,"15,220"
10454,"$1 under $25,000",9920
10454,"$25,000 under $50,000",3810
10454,"$50,000 under $75,000",1010
10454,"$75,000 under $100,000",290
10454,"$100,000 under $200,000",190
10454,"$200,000 or more",**
,,
10455,,"17,090"
10455,"$1 under $25,000",10570
10455,"$25,000 under $50,000",4620
10455,"$50,000 under $75,000",1360
10455,"$75,000 under $100,000",360
10455,"$100,000 under $200,000",180
10455,"$200,000 or more",**
,,
10456,,"38,800"
10456,"$1 under $25,000",25540
10456,"$25,000 under $50,000",9570
10456,"$50,000 under $75,000",2580
10456,"$75,000 under $100,000",760
10456,"$100,000 under $200,000",350
10456,"$200,000 or more",**
,,
10457,,"31,770"
10457,"$1 under $25,000",21100
10457,"$25,000 under $50,000",7480
10457,"$50,000 under $75,000",2170
10457,"$75,000 under $100,000",670
10457,"$100,000 under $200,000",330
10457,"$200,000 or more",20
,,
10458,,"33,010"
10458,"$1 under $25,000",20620
10458,"$25,000 under $50,000",8210
10458,"$50,000 under $75,000",2680
10458,"$75,000 under $100,000",970
10458,"$100,000 under $200,000",500
10458,"$200,000 or more",30
,,
10459,,"20,860"
10459,"$1 under $25,000",12820
10459,"$25,000 under $50,000",5470
10459,"$50,000 under $75,000",1780
10459,"$75,000 under $100,000",520
10459,"$100,000 under $200,000",270
10459,"$200,000 or more",**
,,
10460,,"24,700"
10460,"$1 under $25,000",15590
10460,"$25,000 under $50,000",6080
10460,"$50,000 under $75,000",1990
10460,"$75,000 under $100,000",670
10460,"$100,000 under $200,000",370
10460,"$200,000 or more",**
,,
10461,,"23,340"
10461,"$1 under $25,000",8910
10461,"$25,000 under $50,000",6170
10461,"$50,000 under $75,000",3800
10461,"$75,000 under $100,000",2160
10461,"$100,000 under $200,000",2060
10461,"$200,000 or more",240
,,
10462,,"38,370"
10462,"$1 under $25,000",16520
10462,"$25,000 under $50,000",11190
10462,"$50,000 under $75,000",6050
10462,"$75,000 under $100,000",2680
10462,"$100,000 under $200,000",1810
10462,"$200,000 or more",120
,,
10463,,"33,220"
10463,"$1 under $25,000",13080
10463,"$25,000 under $50,000",7660
10463,"$50,000 under $75,000",4770
10463,"$75,000 under $100,000",2800
10463,"$100,000 under $200,000",3750
10463,"$200,000 or more",1160
,,
10464,,"2,140"
10464,"$1 under $25,000",590
10464,"$25,000 under $50,000",430
10464,"$50,000 under $75,000",350
10464,"$75,000 under $100,000",230
10464,"$100,000 under $200,000",420
10464,"$200,000 or more",120
,,
10465,,"19,250"
10465,"$1 under $25,000",6460
10465,"$25,000 under $50,000",4410
10465,"$50,000 under $75,000",3180
10465,"$75,000 under $100,000",2140
10465,"$100,000 under $200,000",2700
10465,"$200,000 or more",360
,,
10466,,"31,640"
10466,"$1 under $25,000",15300
10466,"$25,000 under $50,000",8910
10466,"$50,000 under $75,000",3980
10466,"$75,000 under $100,000",1880
10466,"$100,000 under $200,000",1490
10466,"$200,000 or more",80
,,
10467,,"42,930"
10467,"$1 under $25,000",22740
10467,"$25,000 under $50,000",11880
10467,"$50,000 under $75,000",5040
10467,"$75,000 under $100,000",1960
10467,"$100,000 under $200,000",1260
10467,"$200,000 or more",50
,,
10468,,"35,240"
10468,"$1 under $25,000",21850
10468,"$25,000 under $50,000",8530
10468,"$50,000 under $75,000",3030
10468,"$75,000 under $100,000",1150
10468,"$100,000 under $200,000",640
10468,"$200,000 or more",40
,,
10469,,"31,030"
10469,"$1 under $25,000",13590
10469,"$25,000 under $50,000",8240
10469,"$50,000 under $75,000",4410
10469,"$75,000 under $100,000",2370
10469,"$100,000 under $200,000",2200
10469,"$200,000 or more",220
,,
10470,,"7,390"
10470,"$1 under $25,000",2910
10470,"$25,000 under $50,000",1910
10470,"$50,000 under $75,000",1120
10470,"$75,000 under $100,000",660
10470,"$100,000 under $200,000",710
10470,"$200,000 or more",80
,,
10471,,"9,800"
10471,"$1 under $25,000",2460
10471,"$25,000 under $50,000",1650
10471,"$50,000 under $75,000",1680
10471,"$75,000 under $100,000",1220
10471,"$100,000 under $200,000",1880
10471,"$200,000 or more",910
,,
10472,,"27,360"
10472,"$1 under $25,000",16360
10472,"$25,000 under $50,000",7100
10472,"$50,000 under $75,000",2430
10472,"$75,000 under $100,000",880
10472,"$100,000 under $200,000",550
10472,"$200,000 or more",40
,,
10473,,"27,320"
10473,"$1 under $25,000",13200
10473,"$25,000 under $50,000",7500
10473,"$50,000 under $75,000",3520
10473,"$75,000 under $100,000",1750
10473,"$100,000 under $200,000",1280
10473,"$200,000 or more",70
,,
10474,,"4,690"
10474,"$1 under $25,000",2930
10474,"$25,000 under $50,000",1280
10474,"$50,000 under $75,000",340
10474,"$75,000 under $100,000",90
10474,"$100,000 under $200,000",50
10474,"$200,000 or more",**
,,
10475,,"22,020"
10475,"$1 under $25,000",7380
10475,"$25,000 under $50,000",6480
10475,"$50,000 under $75,000",4490
10475,"$75,000 under $100,000",2240
10475,"$100,000 under $200,000",1370
10475,"$200,000 or more",60
,,
10501,,650
10501,"$1 under $25,000",180
10501,"$25,000 under $50,000",80
10501,"$50,000 under $75,000",70
10501,"$75,000 under $100,000",50
10501,"$100,000 under $200,000",150
10501,"$200,000 or more",120
,,
10502,,"2,910"
10502,"$1 under $25,000",760
10502,"$25,000 under $50,000",320
10502,"$50,000 under $75,000",280
10502,"$75,000 under $100,000",250
10502,"$100,000 under $200,000",660
10502,"$200,000 or more",640
,,
10504,,"5,360"
10504,"$1 under $25,000",1080
10504,"$25,000 under $50,000",380
10504,"$50,000 under $75,000",320
10504,"$75,000 under $100,000",270
10504,"$100,000 under $200,000",830
10504,"$200,000 or more",2480
,,
10505,,570
10505,"$1 under $25,000",180
10505,"$25,000 under $50,000",90
10505,"$50,000 under $75,000",50
10505,"$75,000 under $100,000",40
10505,"$100,000 under $200,000",110
10505,"$200,000 or more",100
,,
10506,,"2,830"
10506,"$1 under $25,000",760
10506,"$25,000 under $50,000",260
10506,"$50,000 under $75,000",210
10506,"$75,000 under $100,000",150
10506,"$100,000 under $200,000",460
10506,"$200,000 or more",990
,,
10507,,"2,590"
10507,"$1 under $25,000",860
10507,"$25,000 under $50,000",460
10507,"$50,000 under $75,000",330
10507,"$75,000 under $100,000",220
10507,"$100,000 under $200,000",410
10507,"$200,000 or more",310
,,
10509,,"9,710"
10509,"$1 under $25,000",3060
10509,"$25,000 under $50,000",1700
10509,"$50,000 under $75,000",1230
10509,"$75,000 under $100,000",1020
10509,"$100,000 under $200,000",1990
10509,"$200,000 or more",710
,,
10510,,"4,870"
10510,"$1 under $25,000",1210
10510,"$25,000 under $50,000",460
10510,"$50,000 under $75,000",390
10510,"$75,000 under $100,000",310
10510,"$100,000 under $200,000",1040
10510,"$200,000 or more",1460
,,
10511,,"1,130"
10511,"$1 under $25,000",350
10511,"$25,000 under $50,000",230
10511,"$50,000 under $75,000",160
10511,"$75,000 under $100,000",130
10511,"$100,000 under $200,000",210
10511,"$200,000 or more",50
,,
10512,,"12,330"
10512,"$1 under $25,000",3560
10512,"$25,000 under $50,000",2230
10512,"$50,000 under $75,000",1710
10512,"$75,000 under $100,000",1420
10512,"$100,000 under $200,000",2690
10512,"$200,000 or more",720
,,
10514,,"5,480"
10514,"$1 under $25,000",1350
10514,"$25,000 under $50,000",390
10514,"$50,000 under $75,000",290
10514,"$75,000 under $100,000",270
10514,"$100,000 under $200,000",890
10514,"$200,000 or more",2290
,,
10516,,"2,780"
10516,"$1 under $25,000",800
10516,"$25,000 under $50,000",430
10516,"$50,000 under $75,000",350
10516,"$75,000 under $100,000",310
10516,"$100,000 under $200,000",610
10516,"$200,000 or more",280
,,
10518,,740
10518,"$1 under $25,000",230
10518,"$25,000 under $50,000",90
10518,"$50,000 under $75,000",60
10518,"$75,000 under $100,000",70
10518,"$100,000 under $200,000",130
10518,"$200,000 or more",160
,,
10520,,"6,350"
10520,"$1 under $25,000",1690
10520,"$25,000 under $50,000",920
10520,"$50,000 under $75,000",800
10520,"$75,000 under $100,000",600
10520,"$100,000 under $200,000",1360
10520,"$200,000 or more",980
,,
10522,,"5,210"
10522,"$1 under $25,000",1300
10522,"$25,000 under $50,000",830
10522,"$50,000 under $75,000",690
10522,"$75,000 under $100,000",530
10522,"$100,000 under $200,000",1050
10522,"$200,000 or more",810
,,
10523,,"4,830"
10523,"$1 under $25,000",1670
10523,"$25,000 under $50,000",1030
10523,"$50,000 under $75,000",690
10523,"$75,000 under $100,000",490
10523,"$100,000 under $200,000",750
10523,"$200,000 or more",200
,,
10524,,"2,050"
10524,"$1 under $25,000",520
10524,"$25,000 under $50,000",290
10524,"$50,000 under $75,000",250
10524,"$75,000 under $100,000",210
10524,"$100,000 under $200,000",510
10524,"$200,000 or more",270
,,
10526,,"1,040"
10526,"$1 under $25,000",320
10526,"$25,000 under $50,000",150
10526,"$50,000 under $75,000",110
10526,"$75,000 under $100,000",80
10526,"$100,000 under $200,000",190
10526,"$200,000 or more",190
,,
10527,,420
10527,"$1 under $25,000",90
10527,"$25,000 under $50,000",50
10527,"$50,000 under $75,000",40
10527,"$75,000 under $100,000",40
10527,"$100,000 under $200,000",110
10527,"$200,000 or more",90
,,
10528,,"5,750"
10528,"$1 under $25,000",1580
10528,"$25,000 under $50,000",920
10528,"$50,000 under $75,000",760
10528,"$75,000 under $100,000",560
10528,"$100,000 under $200,000",930
10528,"$200,000 or more",1000
,,
10530,,"7,090"
10530,"$1 under $25,000",1520
10530,"$25,000 under $50,000",1040
10530,"$50,000 under $75,000",1090
10530,"$75,000 under $100,000",890
10530,"$100,000 under $200,000",1670
10530,"$200,000 or more",880
,,
10532,,"2,630"
10532,"$1 under $25,000",670
10532,"$25,000 under $50,000",420
10532,"$50,000 under $75,000",350
10532,"$75,000 under $100,000",270
10532,"$100,000 under $200,000",670
10532,"$200,000 or more",250
,,
10533,,"3,830"
10533,"$1 under $25,000",930
10533,"$25,000 under $50,000",440
10533,"$50,000 under $75,000",410
10533,"$75,000 under $100,000",350
10533,"$100,000 under $200,000",750
10533,"$200,000 or more",950
,,
10535,,370
10535,"$1 under $25,000",120
10535,"$25,000 under $50,000",90
10535,"$50,000 under $75,000",50
10535,"$75,000 under $100,000",40
10535,"$100,000 under $200,000",70
10535,"$200,000 or more",**
,,
10536,,"5,280"
10536,"$1 under $25,000",1440
10536,"$25,000 under $50,000",590
10536,"$50,000 under $75,000",490
10536,"$75,000 under $100,000",370
10536,"$100,000 under $200,000",1000
10536,"$200,000 or more",1390
,,
10537,,"1,180"
10537,"$1 under $25,000",370
10537,"$25,000 under $50,000",250
10537,"$50,000 under $75,000",180
10537,"$75,000 under $100,000",140
10537,"$100,000 under $200,000",210
10537,"$200,000 or more",30
,,
10538,,"8,060"
10538,"$1 under $25,000",1920
10538,"$25,000 under $50,000",800
10538,"$50,000 under $75,000",730
10538,"$75,000 under $100,000",560
10538,"$100,000 under $200,000",1300
10538,"$200,000 or more",2750
,,
10541,,"12,330"
10541,"$1 under $25,000",3640
10541,"$25,000 under $50,000",1980
10541,"$50,000 under $75,000",1560
10541,"$75,000 under $100,000",1370
10541,"$100,000 under $200,000",2880
10541,"$200,000 or more",900
,,
10543,,"9,600"
10543,"$1 under $25,000",2970
10543,"$25,000 under $50,000",1590
10543,"$50,000 under $75,000",1170
10543,"$75,000 under $100,000",840
10543,"$100,000 under $200,000",1630
10543,"$200,000 or more",1400
,,
10546,,710
10546,"$1 under $25,000",170
10546,"$25,000 under $50,000",70
10546,"$50,000 under $75,000",70
10546,"$75,000 under $100,000",60
10546,"$100,000 under $200,000",150
10546,"$200,000 or more",190
,,
10547,,"3,540"
10547,"$1 under $25,000",1050
10547,"$25,000 under $50,000",670
10547,"$50,000 under $75,000",480
10547,"$75,000 under $100,000",360
10547,"$100,000 under $200,000",770
10547,"$200,000 or more",210
,,
10548,,"1,570"
10548,"$1 under $25,000",470
10548,"$25,000 under $50,000",260
10548,"$50,000 under $75,000",210
10548,"$75,000 under $100,000",180
10548,"$100,000 under $200,000",350
10548,"$200,000 or more",100
,,
10549,,"8,240"
10549,"$1 under $25,000",2830
10549,"$25,000 under $50,000",1430
10549,"$50,000 under $75,000",850
10549,"$75,000 under $100,000",610
10549,"$100,000 under $200,000",1190
10549,"$200,000 or more",1330
,,
10550,,"18,270"
10550,"$1 under $25,000",8790
10550,"$25,000 under $50,000",5260
10550,"$50,000 under $75,000",2280
10550,"$75,000 under $100,000",1080
10550,"$100,000 under $200,000",810
10550,"$200,000 or more",50
,,
10552,,"10,680"
10552,"$1 under $25,000",3080
10552,"$25,000 under $50,000",2380
10552,"$50,000 under $75,000",1860
10552,"$75,000 under $100,000",1180
10552,"$100,000 under $200,000",1600
10552,"$200,000 or more",580
,,
10553,,"5,670"
10553,"$1 under $25,000",2210
10553,"$25,000 under $50,000",1520
10553,"$50,000 under $75,000",850
10553,"$75,000 under $100,000",460
10553,"$100,000 under $200,000",550
10553,"$200,000 or more",80
,,
10560,,"2,180"
10560,"$1 under $25,000",560
10560,"$25,000 under $50,000",330
10560,"$50,000 under $75,000",230
10560,"$75,000 under $100,000",170
10560,"$100,000 under $200,000",470
10560,"$200,000 or more",420
,,
10562,,"16,030"
10562,"$1 under $25,000",5690
10562,"$25,000 under $50,000",3220
10562,"$50,000 under $75,000",2100
10562,"$75,000 under $100,000",1390
10562,"$100,000 under $200,000",2530
10562,"$200,000 or more",1100
,,
10566,,"12,120"
10566,"$1 under $25,000",4800
10566,"$25,000 under $50,000",2810
10566,"$50,000 under $75,000",1670
10566,"$75,000 under $100,000",1080
10566,"$100,000 under $200,000",1500
10566,"$200,000 or more",260
,,
10567,,"9,530"
10567,"$1 under $25,000",2660
10567,"$25,000 under $50,000",1400
10567,"$50,000 under $75,000",1130
10567,"$75,000 under $100,000",920
10567,"$100,000 under $200,000",2300
