"ZIP
code [1]",Size of adjusted gross income,Number of returns
10030,"$50,000 under $75,000",1370
10030,"$75,000 under $100,000",590
10030,"$100,000 under $200,000",450
10030,"$200,000 or more",130
,,
10031,,"28,300"
10031,"$1 under $25,000",15630
10031,"$25,000 under $50,000",7340
10031,"$50,000 under $75,000",3030
10031,"$75,000 under $100,000",1170
10031,"$100,000 under $200,000",910
10031,"$200,000 or more",220
,,
10032,,"29,860"
10032,"$1 under $25,000",17020
10032,"$25,000 under $50,000",7550
10032,"$50,000 under $75,000",2940
10032,"$75,000 under $100,000",1200
10032,"$100,000 under $200,000",940
10032,"$200,000 or more",210
,,
10033,,"26,530"
10033,"$1 under $25,000",14360
10033,"$25,000 under $50,000",6260
10033,"$50,000 under $75,000",2710
10033,"$75,000 under $100,000",1370
10033,"$100,000 under $200,000",1430
10033,"$200,000 or more",400
,,
10034,,"20,000"
10034,"$1 under $25,000",10440
10034,"$25,000 under $50,000",4870
10034,"$50,000 under $75,000",2370
10034,"$75,000 under $100,000",1130
10034,"$100,000 under $200,000",1020
10034,"$200,000 or more",170
,,
10035,,"15,090"
10035,"$1 under $25,000",7520
10035,"$25,000 under $50,000",3850
10035,"$50,000 under $75,000",2040
10035,"$75,000 under $100,000",740
10035,"$100,000 under $200,000",740
10035,"$200,000 or more",200
,,
10036,,"17,740"
10036,"$1 under $25,000",5010
10036,"$25,000 under $50,000",3490
10036,"$50,000 under $75,000",2410
10036,"$75,000 under $100,000",1790
10036,"$100,000 under $200,000",2810
10036,"$200,000 or more",2230
,,
10037,,"10,090"
10037,"$1 under $25,000",4120
10037,"$25,000 under $50,000",2810
10037,"$50,000 under $75,000",1690
10037,"$75,000 under $100,000",840
10037,"$100,000 under $200,000",560
10037,"$200,000 or more",70
,,
10038,,"11,680"
10038,"$1 under $25,000",3820
10038,"$25,000 under $50,000",2200
10038,"$50,000 under $75,000",1580
10038,"$75,000 under $100,000",1060
10038,"$100,000 under $200,000",1730
10038,"$200,000 or more",1290
,,
10039,,"13,100"
10039,"$1 under $25,000",6980
10039,"$25,000 under $50,000",3480
10039,"$50,000 under $75,000",1490
10039,"$75,000 under $100,000",600
10039,"$100,000 under $200,000",460
10039,"$200,000 or more",90
,,
10040,,"21,140"
10040,"$1 under $25,000",11090
10040,"$25,000 under $50,000",5320
10040,"$50,000 under $75,000",2470
10040,"$75,000 under $100,000",1050
10040,"$100,000 under $200,000",980
10040,"$200,000 or more",230
,,
10044,,"4,160"
10044,"$1 under $25,000",1220
10044,"$25,000 under $50,000",820
10044,"$50,000 under $75,000",590
10044,"$75,000 under $100,000",460
10044,"$100,000 under $200,000",740
10044,"$200,000 or more",330
,,
10065,,"15,680"
10065,"$1 under $25,000",2660
10065,"$25,000 under $50,000",2310
10065,"$50,000 under $75,000",2160
10065,"$75,000 under $100,000",1540
10065,"$100,000 under $200,000",3090
10065,"$200,000 or more",3920
,,
10069,,"2,660"
10069,"$1 under $25,000",360
10069,"$25,000 under $50,000",220
10069,"$50,000 under $75,000",220
10069,"$75,000 under $100,000",210
10069,"$100,000 under $200,000",550
10069,"$200,000 or more",1100
,,
10075,,"14,170"
10075,"$1 under $25,000",2560
10075,"$25,000 under $50,000",2000
10075,"$50,000 under $75,000",2070
10075,"$75,000 under $100,000",1600
10075,"$100,000 under $200,000",2660
10075,"$200,000 or more",3280
,,
10128,,"32,670"
10128,"$1 under $25,000",6700
10128,"$25,000 under $50,000",5300
10128,"$50,000 under $75,000",5060
10128,"$75,000 under $100,000",3340
10128,"$100,000 under $200,000",5700
10128,"$200,000 or more",6570
,,
10162,,720
10162,"$1 under $25,000",100
10162,"$25,000 under $50,000",50
10162,"$50,000 under $75,000",50
10162,"$75,000 under $100,000",60
10162,"$100,000 under $200,000",200
10162,"$200,000 or more",260
,,
10280,,"4,040"
10280,"$1 under $25,000",580
10280,"$25,000 under $50,000",420
10280,"$50,000 under $75,000",470
10280,"$75,000 under $100,000",460
10280,"$100,000 under $200,000",1090
10280,"$200,000 or more",1020
,,
10282,,"2,580"
10282,"$1 under $25,000",280
10282,"$25,000 under $50,000",190
10282,"$50,000 under $75,000",180
10282,"$75,000 under $100,000",210
10282,"$100,000 under $200,000",490
10282,"$200,000 or more",1230
,,
10301,,"17,180"
10301,"$1 under $25,000",6440
10301,"$25,000 under $50,000",3920
10301,"$50,000 under $75,000",2480
10301,"$75,000 under $100,000",1610
10301,"$100,000 under $200,000",2050
10301,"$200,000 or more",680
,,
10302,,"7,550"
10302,"$1 under $25,000",3250
10302,"$25,000 under $50,000",1670
10302,"$50,000 under $75,000",1030
10302,"$75,000 under $100,000",660
10302,"$100,000 under $200,000",830
10302,"$200,000 or more",110
,,
10303,,"11,470"
10303,"$1 under $25,000",5150
10303,"$25,000 under $50,000",2780
10303,"$50,000 under $75,000",1530
10303,"$75,000 under $100,000",990
10303,"$100,000 under $200,000",960
10303,"$200,000 or more",60
,,
10304,,"18,730"
10304,"$1 under $25,000",8190
10304,"$25,000 under $50,000",4280
10304,"$50,000 under $75,000",2210
10304,"$75,000 under $100,000",1430
10304,"$100,000 under $200,000",1950
10304,"$200,000 or more",670
,,
10305,,"18,650"
10305,"$1 under $25,000",6700
10305,"$25,000 under $50,000",4030
10305,"$50,000 under $75,000",2800
10305,"$75,000 under $100,000",2050
10305,"$100,000 under $200,000",2650
10305,"$200,000 or more",420
,,
10306,,"25,870"
10306,"$1 under $25,000",8250
10306,"$25,000 under $50,000",5000
10306,"$50,000 under $75,000",3950
10306,"$75,000 under $100,000",2990
10306,"$100,000 under $200,000",4770
10306,"$200,000 or more",910
,,
10307,,"6,180"
10307,"$1 under $25,000",1920
10307,"$25,000 under $50,000",990
10307,"$50,000 under $75,000",850
10307,"$75,000 under $100,000",720
10307,"$100,000 under $200,000",1320
10307,"$200,000 or more",380
,,
10308,,"13,030"
10308,"$1 under $25,000",3890
10308,"$25,000 under $50,000",2280
10308,"$50,000 under $75,000",1950
10308,"$75,000 under $100,000",1650
10308,"$100,000 under $200,000",2800
10308,"$200,000 or more",460
,,
10309,,"14,450"
10309,"$1 under $25,000",4240
10309,"$25,000 under $50,000",2570
10309,"$50,000 under $75,000",2020
10309,"$75,000 under $100,000",1720
10309,"$100,000 under $200,000",3160
10309,"$200,000 or more",740
,,
10310,,"10,970"
10310,"$1 under $25,000",4370
10310,"$25,000 under $50,000",2270
10310,"$50,000 under $75,000",1420
10310,"$75,000 under $100,000",1040
10310,"$100,000 under $200,000",1570
10310,"$200,000 or more",300
,,
10312,,"28,120"
10312,"$1 under $25,000",8120
10312,"$25,000 under $50,000",4910
10312,"$50,000 under $75,000",4130
10312,"$75,000 under $100,000",3680
10312,"$100,000 under $200,000",6060
10312,"$200,000 or more",1220
,,
10314,,"39,230"
10314,"$1 under $25,000",12790
10314,"$25,000 under $50,000",7740
10314,"$50,000 under $75,000",5910
10314,"$75,000 under $100,000",4680
10314,"$100,000 under $200,000",6880
10314,"$200,000 or more",1230
,,
10451,,"21,940"
10451,"$1 under $25,000",12490
10451,"$25,000 under $50,000",6100
10451,"$50,000 under $75,000",2180
10451,"$75,000 under $100,000",740
10451,"$100,000 under $200,000",410
10451,"$200,000 or more",20
,,
10452,,"34,980"
10452,"$1 under $25,000",22460
10452,"$25,000 under $50,000",8880
10452,"$50,000 under $75,000",2620
10452,"$75,000 under $100,000",730
10452,"$100,000 under $200,000",290
10452,"$200,000 or more",**
,,
10453,,"36,080"
10453,"$1 under $25,000",23710
10453,"$25,000 under $50,000",8870
10453,"$50,000 under $75,000",2450
10453,"$75,000 under $100,000",730
10453,"$100,000 under $200,000",320
10453,"$200,000 or more",**
,,
10454,,"14,990"
10454,"$1 under $25,000",9900
10454,"$25,000 under $50,000",3690
10454,"$50,000 under $75,000",940
10454,"$75,000 under $100,000",270
10454,"$100,000 under $200,000",190
10454,"$200,000 or more",**
,,
10455,,"16,700"
10455,"$1 under $25,000",10350
10455,"$25,000 under $50,000",4530
10455,"$50,000 under $75,000",1300
10455,"$75,000 under $100,000",350
10455,"$100,000 under $200,000",170
10455,"$200,000 or more",**
,,
10456,,"37,900"
10456,"$1 under $25,000",24980
10456,"$25,000 under $50,000",9350
10456,"$50,000 under $75,000",2530
10456,"$75,000 under $100,000",740
10456,"$100,000 under $200,000",300
10456,"$200,000 or more",**
,,
10457,,"30,820"
10457,"$1 under $25,000",20350
10457,"$25,000 under $50,000",7400
10457,"$50,000 under $75,000",2110
10457,"$75,000 under $100,000",640
10457,"$100,000 under $200,000",320
10457,"$200,000 or more",**
,,
10458,,"32,090"
10458,"$1 under $25,000",20110
10458,"$25,000 under $50,000",8020
10458,"$50,000 under $75,000",2540
10458,"$75,000 under $100,000",930
10458,"$100,000 under $200,000",460
10458,"$200,000 or more",30
,,
10459,,"20,620"
10459,"$1 under $25,000",12410
10459,"$25,000 under $50,000",5740
10459,"$50,000 under $75,000",1760
10459,"$75,000 under $100,000",470
10459,"$100,000 under $200,000",240
10459,"$200,000 or more",**
,,
10460,,"24,390"
10460,"$1 under $25,000",14830
10460,"$25,000 under $50,000",6400
10460,"$50,000 under $75,000",2210
10460,"$75,000 under $100,000",610
10460,"$100,000 under $200,000",340
10460,"$200,000 or more",**
,,
10461,,"22,900"
10461,"$1 under $25,000",8670
10461,"$25,000 under $50,000",6170
10461,"$50,000 under $75,000",3780
10461,"$75,000 under $100,000",2100
10461,"$100,000 under $200,000",1970
10461,"$200,000 or more",210
,,
10462,,"37,600"
10462,"$1 under $25,000",16220
10462,"$25,000 under $50,000",11110
10462,"$50,000 under $75,000",5850
10462,"$75,000 under $100,000",2650
10462,"$100,000 under $200,000",1680
10462,"$200,000 or more",90
,,
10463,,"32,570"
10463,"$1 under $25,000",12890
10463,"$25,000 under $50,000",7690
10463,"$50,000 under $75,000",4660
10463,"$75,000 under $100,000",2750
10463,"$100,000 under $200,000",3520
10463,"$200,000 or more",1060
,,
10464,,"2,180"
