"ZIP
code",Size of adjusted gross income,Number of returns
10030,"$75,000 under $100,000",512
10030,"$100,000 under $200,000",387
10030,"$200,000 or more",109
,,
10031,,"29,181"
10031,"$1 under $25,000",16074
10031,"$25,000 under $50,000",8259
10031,"$50,000 under $75,000",2752
10031,"$75,000 under $100,000",1079
10031,"$100,000 under $200,000",827
10031,"$200,000 or more",190
,,
10032,,"30,202"
10032,"$1 under $25,000",16819
10032,"$25,000 under $50,000",8371
10032,"$50,000 under $75,000",2888
10032,"$75,000 under $100,000",1064
10032,"$100,000 under $200,000",874
10032,"$200,000 or more",186
,,
10033,,"28,290"
10033,"$1 under $25,000",14699
10033,"$25,000 under $50,000",7925
10033,"$50,000 under $75,000",2655
10033,"$75,000 under $100,000",1323
10033,"$100,000 under $200,000",1318
10033,"$200,000 or more",370
,,
10034,,"20,577"
10034,"$1 under $25,000",10582
10034,"$25,000 under $50,000",5563
10034,"$50,000 under $75,000",2256
10034,"$75,000 under $100,000",1091
10034,"$100,000 under $200,000",937
10034,"$200,000 or more",148
,,
10035,,"14,483"
10035,"$1 under $25,000",7504
10035,"$25,000 under $50,000",3941
10035,"$50,000 under $75,000",1550
10035,"$75,000 under $100,000",665
10035,"$100,000 under $200,000",660
10035,"$200,000 or more",163
,,
10036,,"18,251"
10036,"$1 under $25,000",5553
10036,"$25,000 under $50,000",3673
10036,"$50,000 under $75,000",2486
10036,"$75,000 under $100,000",1651
10036,"$100,000 under $200,000",2675
10036,"$200,000 or more",2213
,,
10037,,"10,125"
10037,"$1 under $25,000",4249
10037,"$25,000 under $50,000",2902
10037,"$50,000 under $75,000",1623
10037,"$75,000 under $100,000",754
10037,"$100,000 under $200,000",531
10037,"$200,000 or more",66
,,
10038,,"11,486"
10038,"$1 under $25,000",3963
10038,"$25,000 under $50,000",2264
10038,"$50,000 under $75,000",1452
10038,"$75,000 under $100,000",961
10038,"$100,000 under $200,000",1673
10038,"$200,000 or more",1173
,,
10039,,"12,901"
10039,"$1 under $25,000",6703
10039,"$25,000 under $50,000",3661
10039,"$50,000 under $75,000",1427
10039,"$75,000 under $100,000",594
10039,"$100,000 under $200,000",446
10039,"$200,000 or more",70
,,
10040,,"21,622"
10040,"$1 under $25,000",11157
10040,"$25,000 under $50,000",6006
10040,"$50,000 under $75,000",2399
10040,"$75,000 under $100,000",960
10040,"$100,000 under $200,000",879
10040,"$200,000 or more",221
,,
10044,,"4,342"
10044,"$1 under $25,000",1344
10044,"$25,000 under $50,000",897
10044,"$50,000 under $75,000",624
10044,"$75,000 under $100,000",447
10044,"$100,000 under $200,000",731
10044,"$200,000 or more",299
,,
10065,,"15,932"
10065,"$1 under $25,000",2917
10065,"$25,000 under $50,000",2498
10065,"$50,000 under $75,000",2227
10065,"$75,000 under $100,000",1616
10065,"$100,000 under $200,000",2975
10065,"$200,000 or more",3699
,,
10069,,"2,590"
10069,"$1 under $25,000",353
10069,"$25,000 under $50,000",285
10069,"$50,000 under $75,000",207
10069,"$75,000 under $100,000",189
10069,"$100,000 under $200,000",499
10069,"$200,000 or more",1057
,,
10075,,"14,209"
10075,"$1 under $25,000",2686
10075,"$25,000 under $50,000",2192
10075,"$50,000 under $75,000",2083
10075,"$75,000 under $100,000",1554
10075,"$100,000 under $200,000",2561
10075,"$200,000 or more",3133
,,
10128,,"32,877"
10128,"$1 under $25,000",7126
10128,"$25,000 under $50,000",5548
10128,"$50,000 under $75,000",5051
10128,"$75,000 under $100,000",3275
10128,"$100,000 under $200,000",5578
10128,"$200,000 or more",6299
,,
10162,,741
10162,"$1 under $25,000",117
10162,"$25,000 under $50,000",69
10162,"$50,000 under $75,000",63
10162,"$75,000 under $100,000",87
10162,"$100,000 under $200,000",169
10162,"$200,000 or more",236
,,
10280,,"3,954"
10280,"$1 under $25,000",609
10280,"$25,000 under $50,000",438
10280,"$50,000 under $75,000",474
10280,"$75,000 under $100,000",420
10280,"$100,000 under $200,000",1044
10280,"$200,000 or more",969
,,
10282,,"2,567"
10282,"$1 under $25,000",293
10282,"$25,000 under $50,000",196
10282,"$50,000 under $75,000",201
10282,"$75,000 under $100,000",175
10282,"$100,000 under $200,000",487
10282,"$200,000 or more",1215
,,
10301,,"17,183"
10301,"$1 under $25,000",6394
10301,"$25,000 under $50,000",4080
10301,"$50,000 under $75,000",2550
10301,"$75,000 under $100,000",1560
10301,"$100,000 under $200,000",1983
10301,"$200,000 or more",616
,,
10302,,"7,395"
10302,"$1 under $25,000",3101
10302,"$25,000 under $50,000",1702
10302,"$50,000 under $75,000",1069
10302,"$75,000 under $100,000",656
10302,"$100,000 under $200,000",779
10302,"$200,000 or more",88
,,
10303,,"11,391"
10303,"$1 under $25,000",5054
10303,"$25,000 under $50,000",2805
10303,"$50,000 under $75,000",1590
10303,"$75,000 under $100,000",976
10303,"$100,000 under $200,000",910
10303,"$200,000 or more",56
,,
10304,,"18,613"
10304,"$1 under $25,000",8058
10304,"$25,000 under $50,000",4282
10304,"$50,000 under $75,000",2308
10304,"$75,000 under $100,000",1455
10304,"$100,000 under $200,000",1872
10304,"$200,000 or more",638
,,
10305,,"18,471"
10305,"$1 under $25,000",6529
10305,"$25,000 under $50,000",4082
10305,"$50,000 under $75,000",2876
10305,"$75,000 under $100,000",2041
10305,"$100,000 under $200,000",2531
10305,"$200,000 or more",412
,,
10306,,"26,194"
10306,"$1 under $25,000",8478
10306,"$25,000 under $50,000",5197
10306,"$50,000 under $75,000",4019
10306,"$75,000 under $100,000",3001
10306,"$100,000 under $200,000",4648
10306,"$200,000 or more",851
,,
10307,,"6,127"
10307,"$1 under $25,000",1901
10307,"$25,000 under $50,000",1033
10307,"$50,000 under $75,000",840
10307,"$75,000 under $100,000",738
10307,"$100,000 under $200,000",1276
10307,"$200,000 or more",339
,,
10308,,"12,991"
10308,"$1 under $25,000",3920
10308,"$25,000 under $50,000",2259
