"ZIP
code",Size of adjusted gross income,Number of returns
11365,"$100,000 under $200,000",2282
11365,"$200,000 or more",394
,,
11366,,"6,559"
11366,"$1 under $25,000",2526
11366,"$25,000 under $50,000",1305
11366,"$50,000 under $75,000",901
11366,"$75,000 under $100,000",543
11366,"$100,000 under $200,000",1028
11366,"$200,000 or more",256
,,
11367,,"18,451"
11367,"$1 under $25,000",7443
11367,"$25,000 under $50,000",4640
11367,"$50,000 under $75,000",2690
11367,"$75,000 under $100,000",1484
11367,"$100,000 under $200,000",1783
11367,"$200,000 or more",411
,,
11368,,"43,892"
11368,"$1 under $25,000",26666
11368,"$25,000 under $50,000",11401
11368,"$50,000 under $75,000",3728
11368,"$75,000 under $100,000",1349
11368,"$100,000 under $200,000",697
11368,"$200,000 or more",51
,,
11369,,"16,503"
11369,"$1 under $25,000",8638
11369,"$25,000 under $50,000",4508
11369,"$50,000 under $75,000",1859
11369,"$75,000 under $100,000",863
11369,"$100,000 under $200,000",587
11369,"$200,000 or more",48
,,
11370,,"12,528"
11370,"$1 under $25,000",6157
11370,"$25,000 under $50,000",3103
11370,"$50,000 under $75,000",1480
11370,"$75,000 under $100,000",855
11370,"$100,000 under $200,000",821
11370,"$200,000 or more",112
,,
11372,,"33,724"
11372,"$1 under $25,000",16932
11372,"$25,000 under $50,000",8484
11372,"$50,000 under $75,000",4070
11372,"$75,000 under $100,000",2007
11372,"$100,000 under $200,000",1902
11372,"$200,000 or more",329
,,
11373,,"47,503"
11373,"$1 under $25,000",27998
11373,"$25,000 under $50,000",11243
11373,"$50,000 under $75,000",4453
11373,"$75,000 under $100,000",2056
11373,"$100,000 under $200,000",1602
11373,"$200,000 or more",151
,,
11374,,"21,974"
11374,"$1 under $25,000",8346
11374,"$25,000 under $50,000",5163
11374,"$50,000 under $75,000",3570
11374,"$75,000 under $100,000",2185
11374,"$100,000 under $200,000",2286
11374,"$200,000 or more",424
,,
11375,,"35,220"
11375,"$1 under $25,000",10249
11375,"$25,000 under $50,000",6664
11375,"$50,000 under $75,000",5921
11375,"$75,000 under $100,000",4187
11375,"$100,000 under $200,000",6090
11375,"$200,000 or more",2109
,,
11377,,"43,207"
11377,"$1 under $25,000",22667
11377,"$25,000 under $50,000",10523
11377,"$50,000 under $75,000",5121
11377,"$75,000 under $100,000",2494
11377,"$100,000 under $200,000",2134
11377,"$200,000 or more",268
,,
11378,,"16,565"
11378,"$1 under $25,000",6850
11378,"$25,000 under $50,000",3985
11378,"$50,000 under $75,000",2475
11378,"$75,000 under $100,000",1489
11378,"$100,000 under $200,000",1567
11378,"$200,000 or more",199
,,
11379,,"17,269"
11379,"$1 under $25,000",5885
11379,"$25,000 under $50,000",3780
11379,"$50,000 under $75,000",2844
11379,"$75,000 under $100,000",1912
11379,"$100,000 under $200,000",2436
11379,"$200,000 or more",412
,,
11385,,"45,770"
11385,"$1 under $25,000",21214
11385,"$25,000 under $50,000",12137
11385,"$50,000 under $75,000",6234
11385,"$75,000 under $100,000",3172
11385,"$100,000 under $200,000",2755
11385,"$200,000 or more",258
,,
11411,,"10,385"
11411,"$1 under $25,000",3764
11411,"$25,000 under $50,000",2826
11411,"$50,000 under $75,000",1775
11411,"$75,000 under $100,000",1017
11411,"$100,000 under $200,000",938
11411,"$200,000 or more",65
,,
11412,,"18,127"
11412,"$1 under $25,000",7902
11412,"$25,000 under $50,000",5113
11412,"$50,000 under $75,000",2733
11412,"$75,000 under $100,000",1349
11412,"$100,000 under $200,000",987
11412,"$200,000 or more",43
,,
11413,,"20,374"
11413,"$1 under $25,000",7971
11413,"$25,000 under $50,000",5740
11413,"$50,000 under $75,000",3173
11413,"$75,000 under $100,000",1832
11413,"$100,000 under $200,000",1541
11413,"$200,000 or more",117
,,
11414,,"12,797"
11414,"$1 under $25,000",4094
11414,"$25,000 under $50,000",2746
11414,"$50,000 under $75,000",2271
11414,"$75,000 under $100,000",1557
11414,"$100,000 under $200,000",1807
11414,"$200,000 or more",322
,,
11415,,"9,469"
11415,"$1 under $25,000",3260
11415,"$25,000 under $50,000",2234
11415,"$50,000 under $75,000",1695
11415,"$75,000 under $100,000",1029
11415,"$100,000 under $200,000",1034
11415,"$200,000 or more",217
,,
11416,,"11,429"
11416,"$1 under $25,000",6119
11416,"$25,000 under $50,000",3148
11416,"$50,000 under $75,000",1238
11416,"$75,000 under $100,000",542
11416,"$100,000 under $200,000",360
11416,"$200,000 or more",22
,,
11417,,"14,000"
11417,"$1 under $25,000",6444
11417,"$25,000 under $50,000",3776
11417,"$50,000 under $75,000",1846
11417,"$75,000 under $100,000",982
11417,"$100,000 under $200,000",881
11417,"$200,000 or more",71
,,
11418,,"16,531"
11418,"$1 under $25,000",8266
11418,"$25,000 under $50,000",4253
11418,"$50,000 under $75,000",1950
11418,"$75,000 under $100,000",993
11418,"$100,000 under $200,000",958
11418,"$200,000 or more",111
,,
11419,,"22,750"
11419,"$1 under $25,000",11469
11419,"$25,000 under $50,000",7283
11419,"$50,000 under $75,000",2354
11419,"$75,000 under $100,000",901
11419,"$100,000 under $200,000",700
11419,"$200,000 or more",43
,,
11420,,"21,194"
11420,"$1 under $25,000",9899
11420,"$25,000 under $50,000",6090
11420,"$50,000 under $75,000",2764
11420,"$75,000 under $100,000",1343
11420,"$100,000 under $200,000",1037
11420,"$200,000 or more",61
,,
11421,,"19,022"
11421,"$1 under $25,000",9256
11421,"$25,000 under $50,000",5173
11421,"$50,000 under $75,000",2331
11421,"$75,000 under $100,000",1193
11421,"$100,000 under $200,000",1008
11421,"$200,000 or more",61
,,
11422,,"15,474"
11422,"$1 under $25,000",5919
11422,"$25,000 under $50,000",4321
11422,"$50,000 under $75,000",2454
11422,"$75,000 under $100,000",1416
11422,"$100,000 under $200,000",1278
11422,"$200,000 or more",86
,,
11423,,"14,578"
11423,"$1 under $25,000",6480
11423,"$25,000 under $50,000",4155
11423,"$50,000 under $75,000",1893
11423,"$75,000 under $100,000",968
11423,"$100,000 under $200,000",870
11423,"$200,000 or more",212
,,
11426,,"9,032"
11426,"$1 under $25,000",3065
11426,"$25,000 under $50,000",2236
11426,"$50,000 under $75,000",1230
11426,"$75,000 under $100,000",967
11426,"$100,000 under $200,000",1362
11426,"$200,000 or more",172
,,
11427,,"11,553"
11427,"$1 under $25,000",4212
11427,"$25,000 under $50,000",3108
11427,"$50,000 under $75,000",1797
11427,"$75,000 under $100,000",1005
11427,"$100,000 under $200,000",1192
11427,"$200,000 or more",239
,,
11428,,"10,130"
11428,"$1 under $25,000",3947
11428,"$25,000 under $50,000",3159
11428,"$50,000 under $75,000",1418
11428,"$75,000 under $100,000",800
11428,"$100,000 under $200,000",750
11428,"$200,000 or more",56
,,
11429,,"12,479"
11429,"$1 under $25,000",5320
11429,"$25,000 under $50,000",3647
11429,"$50,000 under $75,000",1816
11429,"$75,000 under $100,000",913
11429,"$100,000 under $200,000",745
11429,"$200,000 or more",38
,,
11430,,194
11430,"$1 under $25,000",69
11430,"$25,000 under $50,000",41
11430,"$50,000 under $75,000",41
11430,"$75,000 under $100,000",43
11430,"$100,000 under $200,000",**
11430,"$200,000 or more",**
,,
11432,,"26,274"
11432,"$1 under $25,000",13152
11432,"$25,000 under $50,000",6539
11432,"$50,000 under $75,000",2932
11432,"$75,000 under $100,000",1586
11432,"$100,000 under $200,000",1610
11432,"$200,000 or more",455
,,
11433,,"14,672"
11433,"$1 under $25,000",7539
11433,"$25,000 under $50,000",4124
11433,"$50,000 under $75,000",1719
11433,"$75,000 under $100,000",796
11433,"$100,000 under $200,000",466
11433,"$200,000 or more",28
,,
11434,,"30,569"
11434,"$1 under $25,000",13050
11434,"$25,000 under $50,000",9069
11434,"$50,000 under $75,000",4783
11434,"$75,000 under $100,000",2141
11434,"$100,000 under $200,000",1442
11434,"$200,000 or more",84
,,
11435,,"24,707"
11435,"$1 under $25,000",11993
11435,"$25,000 under $50,000",6430
11435,"$50,000 under $75,000",3324
11435,"$75,000 under $100,000",1592
11435,"$100,000 under $200,000",1246
11435,"$200,000 or more",122
,,
11436,,"8,641"
11436,"$1 under $25,000",3938
11436,"$25,000 under $50,000",2532
11436,"$50,000 under $75,000",1200
11436,"$75,000 under $100,000",593
11436,"$100,000 under $200,000",378
11436,"$200,000 or more",**
,,
11501,,"10,415"
11501,"$1 under $25,000",3110
11501,"$25,000 under $50,000",2155
11501,"$50,000 under $75,000",1689
11501,"$75,000 under $100,000",1186
11501,"$100,000 under $200,000",1865
11501,"$200,000 or more",410
,,
11507,,"3,621"
11507,"$1 under $25,000",1021
11507,"$25,000 under $50,000",547
11507,"$50,000 under $75,000",459
11507,"$75,000 under $100,000",365
11507,"$100,000 under $200,000",784
11507,"$200,000 or more",445
,,
11509,,"1,416"
11509,"$1 under $25,000",392
11509,"$25,000 under $50,000",184
11509,"$50,000 under $75,000",162
11509,"$75,000 under $100,000",127
11509,"$100,000 under $200,000",300
11509,"$200,000 or more",251
,,
11510,,"17,208"
11510,"$1 under $25,000",5317
11510,"$25,000 under $50,000",3350
11510,"$50,000 under $75,000",2433
11510,"$75,000 under $100,000",2068
11510,"$100,000 under $200,000",3301
11510,"$200,000 or more",739
,,
11514,,"2,449"
11514,"$1 under $25,000",715
11514,"$25,000 under $50,000",481
11514,"$50,000 under $75,000",369
11514,"$75,000 under $100,000",285
11514,"$100,000 under $200,000",497
11514,"$200,000 or more",102
,,
11516,,"3,310"
11516,"$1 under $25,000",1007
11516,"$25,000 under $50,000",563
11516,"$50,000 under $75,000",442
11516,"$75,000 under $100,000",317
11516,"$100,000 under $200,000",648
11516,"$200,000 or more",333
,,
11518,,"5,522"
11518,"$1 under $25,000",1561
11518,"$25,000 under $50,000",1017
11518,"$50,000 under $75,000",828
11518,"$75,000 under $100,000",651
11518,"$100,000 under $200,000",1094
11518,"$200,000 or more",371
,,
11520,,"22,977"
11520,"$1 under $25,000",9853
11520,"$25,000 under $50,000",5743
11520,"$50,000 under $75,000",2870
11520,"$75,000 under $100,000",1869
11520,"$100,000 under $200,000",2250
11520,"$200,000 or more",392
,,
11530,,"13,539"
11530,"$1 under $25,000",3337
11530,"$25,000 under $50,000",1555
11530,"$50,000 under $75,000",1421
11530,"$75,000 under $100,000",1196
11530,"$100,000 under $200,000",2957
11530,"$200,000 or more",3073
,,
11542,,"13,036"
11542,"$1 under $25,000",4894
11542,"$25,000 under $50,000",2827
11542,"$50,000 under $75,000",1718
11542,"$75,000 under $100,000",1169
11542,"$100,000 under $200,000",1703
11542,"$200,000 or more",725
,,
11545,,"5,916"
11545,"$1 under $25,000",1668
11545,"$25,000 under $50,000",762
11545,"$50,000 under $75,000",542
11545,"$75,000 under $100,000",455
11545,"$100,000 under $200,000",1147
11545,"$200,000 or more",1342
,,
11548,,689
11548,"$1 under $25,000",223
11548,"$25,000 under $50,000",122
11548,"$50,000 under $75,000",90
11548,"$75,000 under $100,000",48
11548,"$100,000 under $200,000",116
11548,"$200,000 or more",90
,,
11550,,"26,433"
11550,"$1 under $25,000",13330
11550,"$25,000 under $50,000",6854
11550,"$50,000 under $75,000",2994
11550,"$75,000 under $100,000",1450
11550,"$100,000 under $200,000",1588
11550,"$200,000 or more",217
,,
11552,,"12,205"
11552,"$1 under $25,000",4030
11552,"$25,000 under $50,000",2518
11552,"$50,000 under $75,000",1743
11552,"$75,000 under $100,000",1301
11552,"$100,000 under $200,000",2058
11552,"$200,000 or more",555
,,
11553,,"13,340"
11553,"$1 under $25,000",5971
11553,"$25,000 under $50,000",3741
11553,"$50,000 under $75,000",1845
11553,"$75,000 under $100,000",887
11553,"$100,000 under $200,000",824
11553,"$200,000 or more",72
,,
11554,,"19,150"
11554,"$1 under $25,000",5847
11554,"$25,000 under $50,000",3645
11554,"$50,000 under $75,000",2771
11554,"$75,000 under $100,000",2086
11554,"$100,000 under $200,000",3934
11554,"$200,000 or more",867
,,
11557,,"4,172"
11557,"$1 under $25,000",1289
11557,"$25,000 under $50,000",570
11557,"$50,000 under $75,000",486
11557,"$75,000 under $100,000",374
11557,"$100,000 under $200,000",788
11557,"$200,000 or more",665
,,
11558,,"4,117"
11558,"$1 under $25,000",1329
11558,"$25,000 under $50,000",881
11558,"$50,000 under $75,000",579
11558,"$75,000 under $100,000",446
11558,"$100,000 under $200,000",709
11558,"$200,000 or more",173
,,
11559,,"3,732"
11559,"$1 under $25,000",1267
11559,"$25,000 under $50,000",606
11559,"$50,000 under $75,000",385
11559,"$75,000 under $100,000",302
11559,"$100,000 under $200,000",465
11559,"$200,000 or more",707
,,
11560,,"3,398"
11560,"$1 under $25,000",1032
11560,"$25,000 under $50,000",537
11560,"$50,000 under $75,000",372
11560,"$75,000 under $100,000",262
11560,"$100,000 under $200,000",569
11560,"$200,000 or more",626
,,
11561,,"18,997"
11561,"$1 under $25,000",5396
11561,"$25,000 under $50,000",3548
11561,"$50,000 under $75,000",2937
11561,"$75,000 under $100,000",2267
11561,"$100,000 under $200,000",3543
11561,"$200,000 or more",1306
,,
11563,,"11,396"
11563,"$1 under $25,000",3366
11563,"$25,000 under $50,000",2193
11563,"$50,000 under $75,000",1701
11563,"$75,000 under $100,000",1301
11563,"$100,000 under $200,000",2261
11563,"$200,000 or more",574
,,
11565,,"4,777"
11565,"$1 under $25,000",1220
11565,"$25,000 under $50,000",783
11565,"$50,000 under $75,000",670
11565,"$75,000 under $100,000",550
11565,"$100,000 under $200,000",1170
11565,"$200,000 or more",384
,,
11566,,"17,873"
11566,"$1 under $25,000",4831
11566,"$25,000 under $50,000",2608
11566,"$50,000 under $75,000",2185
11566,"$75,000 under $100,000",1781
11566,"$100,000 under $200,000",4352
11566,"$200,000 or more",2116
,,
11568,,"1,718"
11568,"$1 under $25,000",509
11568,"$25,000 under $50,000",200
11568,"$50,000 under $75,000",134
11568,"$75,000 under $100,000",102
11568,"$100,000 under $200,000",199
11568,"$200,000 or more",574
,,
11570,,"13,899"
11570,"$1 under $25,000",4004
11570,"$25,000 under $50,000",2055
11570,"$50,000 under $75,000",1626
11570,"$75,000 under $100,000",1285
11570,"$100,000 under $200,000",2732
11570,"$200,000 or more",2197
,,
11572,,"15,648"
11572,"$1 under $25,000",4660
11572,"$25,000 under $50,000",2548
11572,"$50,000 under $75,000",2001
11572,"$75,000 under $100,000",1756
11572,"$100,000 under $200,000",3586
11572,"$200,000 or more",1097
,,
11575,,"8,843"
11575,"$1 under $25,000",3948
11575,"$25,000 under $50,000",2763
11575,"$50,000 under $75,000",1070
11575,"$75,000 under $100,000",565
11575,"$100,000 under $200,000",474
11575,"$200,000 or more",23
,,
11576,,"6,212"
11576,"$1 under $25,000",1591
11576,"$25,000 under $50,000",679
11576,"$50,000 under $75,000",560
11576,"$75,000 under $100,000",458
11576,"$100,000 under $200,000",1140
11576,"$200,000 or more",1784
,,
11577,,"5,795"
11577,"$1 under $25,000",1585
11577,"$25,000 under $50,000",802
11577,"$50,000 under $75,000",646
11577,"$75,000 under $100,000",511
11577,"$100,000 under $200,000",1091
11577,"$200,000 or more",1160
,,
11579,,"2,582"
11579,"$1 under $25,000",737
11579,"$25,000 under $50,000",388
11579,"$50,000 under $75,000",295
11579,"$75,000 under $100,000",270
11579,"$100,000 under $200,000",552
11579,"$200,000 or more",340
,,
11580,,"20,455"
11580,"$1 under $25,000",6697
11580,"$25,000 under $50,000",4557
11580,"$50,000 under $75,000",3180
11580,"$75,000 under $100,000",2324
11580,"$100,000 under $200,000",3231
11580,"$200,000 or more",466
,,
11581,,"10,639"
11581,"$1 under $25,000",3142
11581,"$25,000 under $50,000",2188
11581,"$50,000 under $75,000",1437
11581,"$75,000 under $100,000",1172
11581,"$100,000 under $200,000",2059
11581,"$200,000 or more",641
,,
11590,,"23,922"
11590,"$1 under $25,000",9339
11590,"$25,000 under $50,000",5558
11590,"$50,000 under $75,000",2895
11590,"$75,000 under $100,000",1997
11590,"$100,000 under $200,000",3247
11590,"$200,000 or more",886
,,
11596,,"5,292"
11596,"$1 under $25,000",1488
11596,"$25,000 under $50,000",771
11596,"$50,000 under $75,000",685
11596,"$75,000 under $100,000",564
11596,"$100,000 under $200,000",1232
11596,"$200,000 or more",552
,,
11598,,"5,719"
11598,"$1 under $25,000",1585
11598,"$25,000 under $50,000",744
11598,"$50,000 under $75,000",605
11598,"$75,000 under $100,000",467
11598,"$100,000 under $200,000",1126
11598,"$200,000 or more",1192
,,
11691,,"22,140"
11691,"$1 under $25,000",11402
11691,"$25,000 under $50,000",6260
11691,"$50,000 under $75,000",2335
11691,"$75,000 under $100,000",1080
11691,"$100,000 under $200,000",890
11691,"$200,000 or more",173
,,
11692,,"8,076"
11692,"$1 under $25,000",4057
11692,"$25,000 under $50,000",2329
11692,"$50,000 under $75,000",893
11692,"$75,000 under $100,000",420
11692,"$100,000 under $200,000",341
11692,"$200,000 or more",36
,,
11693,,"5,672"
11693,"$1 under $25,000",2387
11693,"$25,000 under $50,000",1343
11693,"$50,000 under $75,000",864
11693,"$75,000 under $100,000",551
11693,"$100,000 under $200,000",491
11693,"$200,000 or more",36
,,
11694,,"8,517"
11694,"$1 under $25,000",2700
11694,"$25,000 under $50,000",1717
11694,"$50,000 under $75,000",1229
11694,"$75,000 under $100,000",966
11694,"$100,000 under $200,000",1445
11694,"$200,000 or more",460
,,
11697,,"1,962"
11697,"$1 under $25,000",509
11697,"$25,000 under $50,000",276
11697,"$50,000 under $75,000",292
11697,"$75,000 under $100,000",280
11697,"$100,000 under $200,000",459
11697,"$200,000 or more",146
,,
11701,,"13,921"
11701,"$1 under $25,000",5513
11701,"$25,000 under $50,000",3684
11701,"$50,000 under $75,000",1912
11701,"$75,000 under $100,000",1060
11701,"$100,000 under $200,000",1396
11701,"$200,000 or more",356
,,
11702,,"7,651"
11702,"$1 under $25,000",2181
11702,"$25,000 under $50,000",1262
11702,"$50,000 under $75,000",1033
11702,"$75,000 under $100,000",848
11702,"$100,000 under $200,000",1716
11702,"$200,000 or more",611
,,
11703,,"8,887"
11703,"$1 under $25,000",2824
11703,"$25,000 under $50,000",1880
11703,"$50,000 under $75,000",1437
11703,"$75,000 under $100,000",1076
11703,"$100,000 under $200,000",1505
11703,"$200,000 or more",165
,,
11704,,"20,576"
11704,"$1 under $25,000",6674
11704,"$25,000 under $50,000",5402
11704,"$50,000 under $75,000",3111
11704,"$75,000 under $100,000",2202
11704,"$100,000 under $200,000",2898
11704,"$200,000 or more",289
,,
11705,,"3,899"
11705,"$1 under $25,000",1103
11705,"$25,000 under $50,000",560
11705,"$50,000 under $75,000",511
11705,"$75,000 under $100,000",436
11705,"$100,000 under $200,000",941
11705,"$200,000 or more",348
,,
11706,,"30,665"
11706,"$1 under $25,000",12333
11706,"$25,000 under $50,000",7965
11706,"$50,000 under $75,000",4142
11706,"$75,000 under $100,000",2514
11706,"$100,000 under $200,000",3139
11706,"$200,000 or more",572
,,
11709,,"3,433"
11709,"$1 under $25,000",1010
11709,"$25,000 under $50,000",577
11709,"$50,000 under $75,000",440
11709,"$75,000 under $100,000",364
11709,"$100,000 under $200,000",745
11709,"$200,000 or more",297
,,
11710,,"17,375"
11710,"$1 under $25,000",5029
11710,"$25,000 under $50,000",2840
11710,"$50,000 under $75,000",2346
11710,"$75,000 under $100,000",1884
11710,"$100,000 under $200,000",3963
11710,"$200,000 or more",1313
,,
11713,,"5,093"
11713,"$1 under $25,000",1826
11713,"$25,000 under $50,000",1208
11713,"$50,000 under $75,000",724
11713,"$75,000 under $100,000",522
11713,"$100,000 under $200,000",668
11713,"$200,000 or more",145
,,
11714,,"12,210"
11714,"$1 under $25,000",3910
11714,"$25,000 under $50,000",2368
11714,"$50,000 under $75,000",1755
11714,"$75,000 under $100,000",1386
11714,"$100,000 under $200,000",2338
11714,"$200,000 or more",453
,,
11715,,"2,344"
11715,"$1 under $25,000",682
11715,"$25,000 under $50,000",355
11715,"$50,000 under $75,000",308
11715,"$75,000 under $100,000",290
11715,"$100,000 under $200,000",565
11715,"$200,000 or more",144
,,
11716,,"5,407"
11716,"$1 under $25,000",1632
11716,"$25,000 under $50,000",1065
11716,"$50,000 under $75,000",871
11716,"$75,000 under $100,000",636
11716,"$100,000 under $200,000",1003
11716,"$200,000 or more",200
,,
11717,,"29,733"
11717,"$1 under $25,000",14605
11717,"$25,000 under $50,000",9209
11717,"$50,000 under $75,000",3308
11717,"$75,000 under $100,000",1466
11717,"$100,000 under $200,000",1082
11717,"$200,000 or more",63
,,
11718,,"1,732"
11718,"$1 under $25,000",424
11718,"$25,000 under $50,000",245
11718,"$50,000 under $75,000",223
11718,"$75,000 under $100,000",163
11718,"$100,000 under $200,000",408
11718,"$200,000 or more",269
,,
11719,,"1,593"
11719,"$1 under $25,000",446
11719,"$25,000 under $50,000",314
11719,"$50,000 under $75,000",232
11719,"$75,000 under $100,000",178
11719,"$100,000 under $200,000",331
11719,"$200,000 or more",92
,,
11720,,"14,181"
11720,"$1 under $25,000",4664
11720,"$25,000 under $50,000",2810
11720,"$50,000 under $75,000",2026
11720,"$75,000 under $100,000",1569
11720,"$100,000 under $200,000",2670
11720,"$200,000 or more",442
,,
11721,,"3,202"
11721,"$1 under $25,000",801
11721,"$25,000 under $50,000",441
11721,"$50,000 under $75,000",361
11721,"$75,000 under $100,000",321
11721,"$100,000 under $200,000",748
11721,"$200,000 or more",530
,,
11722,,"17,662"
11722,"$1 under $25,000",7811
11722,"$25,000 under $50,000",5003
11722,"$50,000 under $75,000",2283
11722,"$75,000 under $100,000",1303
11722,"$100,000 under $200,000",1173
11722,"$200,000 or more",89
,,
11724,,"1,674"
11724,"$1 under $25,000",454
11724,"$25,000 under $50,000",218
11724,"$50,000 under $75,000",143
11724,"$75,000 under $100,000",85
11724,"$100,000 under $200,000",266
11724,"$200,000 or more",508
,,
11725,,"14,155"
11725,"$1 under $25,000",3996
11725,"$25,000 under $50,000",2149
11725,"$50,000 under $75,000",1784
11725,"$75,000 under $100,000",1558
11725,"$100,000 under $200,000",3467
11725,"$200,000 or more",1201
,,
11726,,"11,015"
11726,"$1 under $25,000",4727
11726,"$25,000 under $50,000",3241
11726,"$50,000 under $75,000",1334
11726,"$75,000 under $100,000",810
11726,"$100,000 under $200,000",793
11726,"$200,000 or more",110
,,
11727,,"14,153"
11727,"$1 under $25,000",4407
11727,"$25,000 under $50,000",3170
11727,"$50,000 under $75,000",2404
11727,"$75,000 under $100,000",1633
11727,"$100,000 under $200,000",2287
11727,"$200,000 or more",252
,,
11729,,"14,352"
11729,"$1 under $25,000",4905
11729,"$25,000 under $50,000",3276
11729,"$50,000 under $75,000",2195
11729,"$75,000 under $100,000",1564
11729,"$100,000 under $200,000",2157
11729,"$200,000 or more",255
,,
11730,,"7,116"
11730,"$1 under $25,000",2200
11730,"$25,000 under $50,000",1208
11730,"$50,000 under $75,000",927
11730,"$75,000 under $100,000",759
11730,"$100,000 under $200,000",1603
11730,"$200,000 or more",419
,,
11731,,"14,679"
11731,"$1 under $25,000",4200
11731,"$25,000 under $50,000",2427
11731,"$50,000 under $75,000",1907
11731,"$75,000 under $100,000",1627
11731,"$100,000 under $200,000",3435
11731,"$200,000 or more",1083
,,
11732,,"1,788"
11732,"$1 under $25,000",450
11732,"$25,000 under $50,000",284
11732,"$50,000 under $75,000",217
11732,"$75,000 under $100,000",171
11732,"$100,000 under $200,000",446
11732,"$200,000 or more",220
,,
11733,,"8,647"
11733,"$1 under $25,000",2385
11733,"$25,000 under $50,000",1057
11733,"$50,000 under $75,000",852
11733,"$75,000 under $100,000",780
11733,"$100,000 under $200,000",2091
11733,"$200,000 or more",1482
,,
11735,,"16,763"
11735,"$1 under $25,000",5316
11735,"$25,000 under $50,000",3332
11735,"$50,000 under $75,000",2504
11735,"$75,000 under $100,000",1893
11735,"$100,000 under $200,000",3092
11735,"$200,000 or more",626
,,
11738,,"8,108"
11738,"$1 under $25,000",2668
11738,"$25,000 under $50,000",1695
11738,"$50,000 under $75,000",1152
11738,"$75,000 under $100,000",913
11738,"$100,000 under $200,000",1482
11738,"$200,000 or more",198
,,
11740,,"4,474"
11740,"$1 under $25,000",1353
11740,"$25,000 under $50,000",655
11740,"$50,000 under $75,000",515
11740,"$75,000 under $100,000",434
11740,"$100,000 under $200,000",1032
11740,"$200,000 or more",485
,,
11741,,"13,996"
11741,"$1 under $25,000",3942
11741,"$25,000 under $50,000",2739
11741,"$50,000 under $75,000",2154
11741,"$75,000 under $100,000",1685
11741,"$100,000 under $200,000",3010
11741,"$200,000 or more",466
,,
11742,,"6,993"
11742,"$1 under $25,000",2340
11742,"$25,000 under $50,000",1287
11742,"$50,000 under $75,000",998
11742,"$75,000 under $100,000",803
11742,"$100,000 under $200,000",1349
11742,"$200,000 or more",216
,,
11743,,"21,529"
11743,"$1 under $25,000",6049
11743,"$25,000 under $50,000",3343
11743,"$50,000 under $75,000",2557
11743,"$75,000 under $100,000",1993
11743,"$100,000 under $200,000",4424
11743,"$200,000 or more",3163
,,
11746,,"32,110"
11746,"$1 under $25,000",11317
11746,"$25,000 under $50,000",5942
11746,"$50,000 under $75,000",3743
11746,"$75,000 under $100,000",2717
11746,"$100,000 under $200,000",5345
11746,"$200,000 or more",3046
,,
11747,,"10,181"
11747,"$1 under $25,000",2741
11747,"$25,000 under $50,000",1465
11747,"$50,000 under $75,000",1253
11747,"$75,000 under $100,000",959
11747,"$100,000 under $200,000",2164
11747,"$200,000 or more",1599
,,
11749,,"1,751"
11749,"$1 under $25,000",623
11749,"$25,000 under $50,000",403
11749,"$50,000 under $75,000",263
11749,"$75,000 under $100,000",172
11749,"$100,000 under $200,000",247
11749,"$200,000 or more",43
,,
11751,,"7,454"
11751,"$1 under $25,000",2284
11751,"$25,000 under $50,000",1431
11751,"$50,000 under $75,000",1100
11751,"$75,000 under $100,000",798
11751,"$100,000 under $200,000",1477
11751,"$200,000 or more",364
,,
11752,,"5,115"
11752,"$1 under $25,000",1677
11752,"$25,000 under $50,000",1087
11752,"$50,000 under $75,000",746
11752,"$75,000 under $100,000",546
11752,"$100,000 under $200,000",957
11752,"$200,000 or more",102
,,
11753,,"6,392"
11753,"$1 under $25,000",1681
11753,"$25,000 under $50,000",742
11753,"$50,000 under $75,000",632
11753,"$75,000 under $100,000",534
11753,"$100,000 under $200,000",1375
11753,"$200,000 or more",1428
,,
11754,,"9,151"
11754,"$1 under $25,000",2666
11754,"$25,000 under $50,000",1508
11754,"$50,000 under $75,000",1184
11754,"$75,000 under $100,000",1070
11754,"$100,000 under $200,000",2132
11754,"$200,000 or more",591
,,
11755,,"6,033"
11755,"$1 under $25,000",1776
11755,"$25,000 under $50,000",1103
11755,"$50,000 under $75,000",854
11755,"$75,000 under $100,000",711
11755,"$100,000 under $200,000",1264
11755,"$200,000 or more",325
,,
11756,,"22,247"
11756,"$1 under $25,000",7016
11756,"$25,000 under $50,000",4343
11756,"$50,000 under $75,000",3302
11756,"$75,000 under $100,000",2630
11756,"$100,000 under $200,000",4442
11756,"$200,000 or more",514
,,
11757,,"23,579"
11757,"$1 under $25,000",8068
11757,"$25,000 under $50,000",5451
11757,"$50,000 under $75,000",3464
11757,"$75,000 under $100,000",2610
11757,"$100,000 under $200,000",3639
11757,"$200,000 or more",347
,,
11758,,"28,116"
11758,"$1 under $25,000",8156
11758,"$25,000 under $50,000",4887
11758,"$50,000 under $75,000",3858
11758,"$75,000 under $100,000",2922
11758,"$100,000 under $200,000",6297
11758,"$200,000 or more",1996
,,
11762,,"11,468"
11762,"$1 under $25,000",3172
11762,"$25,000 under $50,000",1744
11762,"$50,000 under $75,000",1429
11762,"$75,000 under $100,000",1337
11762,"$100,000 under $200,000",2975
11762,"$200,000 or more",811
,,
11763,,"14,190"
11763,"$1 under $25,000",4762
11763,"$25,000 under $50,000",3281
11763,"$50,000 under $75,000",2046
11763,"$75,000 under $100,000",1622
